Task,count_Base,count_Exp,count_Change%,mean_Base,mean_Exp,mean_Change%,variance_Base,variance_Exp,variance_Change%,std_Base,std_Exp,std_Change%,cv_Base,cv_Exp,cv_Change%,min_Base,min_Exp,min_Change%,max_Base,max_Exp,max_Change%,iqr_Base,iqr_Exp,iqr_Change%,p90_Base,p90_Exp,p90_Change%,p95_Base,p95_Exp,p95_Change%,total_time_Base,total_time_Exp,total_time_Change%,throughput_Base,throughput_Exp,throughput_Change%,completed_requests_Base,completed_requests_Exp,completed_requests_Change%
Global_Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618.0623,615.9312,-0.3448,168.1610,166.2718,-1.1235,103934.0000,102412.0000,-1.4644
couchdb_test,112.0000,108.0000,-3.5714,21.3192,22.1471,3.8832,25.2560,48.2169,90.9126,5.0255,6.9438,38.1711,0.2357,0.3135,33.0062,10.4692,5.7431,-45.1431,44.7534,46.3857,3.6471,2.1213,1.4730,-30.5630,22.5785,28.9570,28.2502,25.1221,41.0063,63.2279,,,,,,,,,
disk,4577.0000,4271.0000,-6.6856,0.3535,0.3986,12.7430,0.0248,0.0406,63.7785,0.1574,0.2014,27.9760,0.4452,0.5054,13.5112,0.1578,0.2217,40.5390,2.4529,2.1100,-13.9813,0.0867,0.0646,-25.4698,0.4034,0.4340,7.5727,0.4457,0.7261,62.9318,,,,,,,,,
float_operation,3552.0000,3428.0000,-3.4910,0.5008,0.5282,5.4768,0.0033,0.0048,46.1085,0.0575,0.0695,20.8754,0.1148,0.1316,14.5990,0.3394,0.3409,0.4337,0.7871,0.7921,0.6383,0.0813,0.1079,32.6914,0.5875,0.6152,4.7183,0.6000,0.6449,7.4889,,,,,,,,,
image,169.0000,130.0000,-23.0769,14.1993,18.5264,30.4739,4.2014,16.7326,298.2631,2.0497,4.0906,99.5653,0.1444,0.2208,52.9542,13.3309,13.4647,1.0038,27.0471,35.7459,32.1615,0.3433,2.0718,503.5567,14.4131,22.7781,58.0377,15.4257,28.5265,84.9282,,,,,,,,,
k-means,8036.0000,7672.0000,-4.5296,0.1237,0.1417,14.5586,0.0100,0.0106,5.6977,0.1001,0.1029,2.8094,0.8089,0.7260,-10.2560,0.0325,0.0327,0.4867,4.4798,4.5053,0.5699,0.0808,0.0611,-24.4022,0.1884,0.1963,4.1824,0.1976,0.2038,3.1324,,,,,,,,,
linpack,9671.0000,9625.0000,-0.4756,0.0759,0.0813,7.0992,0.0011,0.0012,8.9973,0.0335,0.0350,4.4018,0.4410,0.4299,-2.5186,0.0252,0.0251,-0.3207,0.5417,0.5079,-6.2286,0.0531,0.0509,-4.1873,0.1103,0.1186,7.5071,0.1237,0.1407,13.7316,,,,,,,,,
map_reduce,13547.0000,13860.0000,2.3105,0.0135,0.0133,-1.5927,0.0001,0.0001,-8.3459,0.0076,0.0073,-4.2638,0.5635,0.5482,-2.7144,0.0093,0.0091,-2.0254,0.0969,0.0896,-7.5082,0.0037,0.0034,-7.4418,0.0180,0.0166,-7.6015,0.0238,0.0218,-8.3756,,,,,,,,,
markdown2html,11815.0000,11625.0000,-1.6081,0.0340,0.0407,19.8004,0.0012,0.0016,32.8287,0.0345,0.0397,15.2513,1.0141,0.9756,-3.7972,0.0149,0.0149,0.1234,1.3918,1.5211,9.2907,0.0300,0.0435,45.1470,0.0774,0.0871,12.5881,0.0927,0.0978,5.4759,,,,,,,,,
matmul,4896.0000,5206.0000,6.3317,0.3078,0.2847,-7.5138,0.0038,0.0034,-12.1219,0.0618,0.0580,-6.2567,0.2009,0.2036,1.3592,0.1185,0.1184,-0.1143,0.6193,0.7701,24.3500,0.1018,0.0683,-32.8890,0.3902,0.3715,-4.7895,0.3963,0.3897,-1.6435,,,,,,,,,
network,9070.0000,8812.0000,-2.8445,0.0943,0.1036,9.8579,0.0084,0.0190,126.4347,0.0917,0.1380,50.4775,0.9722,1.3317,36.9746,0.0340,0.0336,-1.1246,2.2928,1.9607,-14.4832,0.0660,0.0688,4.2828,0.1553,0.1596,2.7300,0.1932,0.2349,21.5819,,,,,,,,,
recognizer_adult,186.0000,181.0000,-2.6882,12.8112,13.1131,2.3564,9.4516,10.4023,10.0586,3.0743,3.2253,4.9088,0.2400,0.2460,2.4937,8.9563,9.3615,4.5241,30.5138,29.8107,-2.3043,3.3307,3.0223,-9.2601,15.9142,16.4650,3.4608,16.9296,17.6112,4.0264,,,,,,,,,
recognizer_censor,10243.0000,10188.0000,-0.5370,0.0056,0.0052,-7.6040,0.0001,0.0001,-15.6096,0.0114,0.0105,-8.1358,2.0401,2.0283,-0.5755,0.0018,0.0018,-1.2221,0.1133,0.1172,3.5175,0.0015,0.0015,3.9366,0.0054,0.0053,-1.8103,0.0076,0.0070,-7.4756,,,,,,,,,
recognizer_extract,592.0000,587.0000,-0.8446,3.8257,3.8508,0.6560,0.4911,0.9462,92.6691,0.7008,0.9727,38.8053,0.1832,0.2526,37.9006,2.2004,2.0734,-5.7694,8.7287,8.7580,0.3354,0.3848,0.4127,7.2302,4.0664,4.3629,7.2912,4.5459,6.2469,37.4179,,,,,,,,,
recognizer_mosaic,1162.0000,1106.0000,-4.8193,1.8355,1.9361,5.4819,0.3626,0.7977,120.0005,0.6021,0.8931,48.3242,0.3281,0.4613,40.6157,1.0592,1.0493,-0.9362,6.8266,7.3424,7.5555,0.3211,0.3388,5.5187,2.1058,2.1626,2.6973,2.2675,3.6850,62.5152,,,,,,,,,
recognizer_translate,6880.0000,6847.0000,-0.4797,0.1092,0.1086,-0.5939,0.0002,0.0002,0.8972,0.0125,0.0126,0.4476,0.1148,0.1160,1.0477,0.1058,0.1058,0.0694,0.6759,0.6462,-4.3885,0.0025,0.0023,-6.4411,0.1121,0.1113,-0.6780,0.1146,0.1132,-1.1537,,,,,,,,,
recognizer_upload,1001.0000,958.0000,-4.2957,2.1628,2.2753,5.1973,0.5862,1.2434,112.1076,0.7656,1.1151,45.6391,0.3540,0.4901,38.4438,0.0355,0.0294,-17.3656,9.3511,11.1151,18.8636,0.3669,0.3656,-0.3485,2.4752,2.5135,1.5505,2.6783,4.4097,64.6445,,,,,,,,,
recognizer_violence,180.0000,169.0000,-6.1111,13.2219,14.0311,6.1203,9.2550,11.4431,23.6431,3.0422,3.3828,11.1949,0.2301,0.2411,4.7819,9.4746,9.0007,-5.0017,29.7839,32.2865,8.4024,2.7744,3.4160,23.1262,16.3374,17.4425,6.7644,17.2878,17.8988,3.5339,,,,,,,,,
svd_compute,1012.0000,1000.0000,-1.1858,2.1393,2.1702,1.4457,0.3649,0.8351,128.8369,0.6041,0.9139,51.2736,0.2824,0.4211,49.1178,1.2980,1.0727,-17.3548,6.9399,8.1186,16.9842,0.3300,0.3058,-7.3211,2.3878,2.3728,-0.6272,2.5813,4.0096,55.3358,,,,,,,,,
svd_merge,2659.0000,2554.0000,-3.9489,0.6711,0.7122,6.1280,0.1106,0.2382,115.3624,0.3326,0.4881,46.7523,0.4956,0.6853,38.2786,0.2088,0.2896,38.6808,4.5275,5.2607,16.1947,0.2156,0.1972,-8.5504,0.8677,0.8764,1.0062,0.9734,1.1154,14.5841,,,,,,,,,
