timestamp,CPU_0(group_0),CPU_2(group_1),CPU_4(group_1),CPU_6(group_2),CPU_8(group_3),CPU_10(group_3),CPU_12(group_3),CPU_14(group_4),CPU_16(group_5),CPU_64(group_0),CPU_66(group_1),CPU_68(group_1),CPU_70(group_2),CPU_72(group_3),CPU_74(group_3),CPU_76(group_3),CPU_78(group_4),CPU_80(group_5)
1768748893.1533458,11.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,100.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,100.0
1768748894.1559234,7.3,23.5,1.0,1.0,1.0,0.0,1.0,2.0,100.0,2.0,1.0,0.0,1.0,2.0,7.1,2.0,5.0,100.0
1768748895.160171,5.4,7.0,2.0,0.0,2.0,0.0,0.0,1.0,100.0,0.0,0.0,3.0,0.0,1.0,1.0,4.0,5.2,100.0
1768748896.1660554,5.4,1.0,24.0,0.0,0.0,0.0,0.0,2.0,100.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,2.0,100.0
1768748897.167898,7.3,1.0,2.0,2.0,1.0,1.0,0.0,0.0,100.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,9.1,100.0
1768748898.1716611,8.2,0.0,7.1,8.2,1.0,0.0,7.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,4.9,1.0,2.0,100.0
1768748899.1757717,10.8,0.0,23.2,3.0,1.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0
1768748900.178919,7.1,2.9,1.0,0.0,3.0,0.0,1.0,0.0,100.0,5.1,1.0,3.0,1.0,2.0,2.0,1.0,5.1,100.0
1768748901.18262,8.2,7.1,8.0,4.9,3.1,3.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,3.0,0.0,12.0,5.1,100.0
1768748902.1863232,9.9,6.0,1.0,1.0,3.0,4.0,2.0,6.0,100.0,1.0,1.0,0.0,0.0,1.0,4.0,2.0,5.0,100.0
1768748903.235434,14.2,0.0,2.0,1.0,1.0,3.0,0.0,2.0,100.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0
1768748904.3490536,10.0,1.0,0.0,1.0,3.0,0.0,3.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0
1768748905.3851697,9.9,0.0,0.0,0.0,1.0,0.0,0.0,3.0,100.0,3.0,0.0,0.0,0.0,1.0,8.1,4.0,1.0,100.0
1768748906.3883066,12.6,2.0,0.0,0.0,2.0,3.0,0.0,0.0,100.0,2.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,100.0
1768748907.393086,11.7,0.0,0.0,0.0,3.0,0.0,1.0,0.0,100.0,5.0,1.0,0.0,1.0,3.0,5.0,0.0,0.0,100.0
1768748908.396656,11.1,3.0,3.0,0.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,100.0
1768748909.4002721,10.2,1.0,1.0,1.0,2.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.1,4.0,3.0,100.0
1768748910.4048114,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,100.0
1768748911.408739,9.1,3.0,0.0,0.0,2.0,4.0,3.0,2.0,100.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,100.0
1768748912.412523,11.1,3.1,2.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
1768748913.4162824,10.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0
1768748914.420745,12.4,1.0,0.0,3.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,2.0,0.0,0.0,2.9,0.0,0.0,100.0
1768748915.4250314,8.2,1.0,0.0,3.0,0.0,1.0,2.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,100.0
