Task,Type,count_Base,count_Exp,count_Change%,mean_Base,mean_Exp,mean_Change%,variance_Base,variance_Exp,variance_Change%,std_Base,std_Exp,std_Change%,cv_Base,cv_Exp,cv_Change%,min_Base,min_Exp,min_Change%,max_Base,max_Exp,max_Change%,iqr_Base,iqr_Exp,iqr_Change%,p90_Base,p90_Exp,p90_Change%,p95_Base,p95_Exp,p95_Change%,attempts_Base,attempts_Exp,attempts_Change%,success_Base,success_Exp,success_Change%,failed_Base,failed_Exp,failed_Change%,failure_rate_Base,failure_rate_Exp,failure_rate_Change%,http_fail_Base,http_fail_Exp,http_fail_Change%,logic_fail_Base,logic_fail_Exp,logic_fail_Change%,timeout_fail_Base,timeout_fail_Exp,timeout_fail_Change%,exception_fail_Base,exception_fail_Exp,exception_fail_Change%,total_time_Base,total_time_Exp,total_time_Change%,throughput_Base,throughput_Exp,throughput_Change%,completed_requests_Base,completed_requests_Exp,completed_requests_Change%,attempted_requests_Base,attempted_requests_Exp,attempted_requests_Change%,successful_requests_Base,successful_requests_Exp,successful_requests_Change%,failed_requests_Base,failed_requests_Exp,failed_requests_Change%,attempt_throughput_Base,attempt_throughput_Exp,attempt_throughput_Change%,success_throughput_Base,success_throughput_Exp,success_throughput_Change%,failed_breakdown.http_fail_Base,failed_breakdown.http_fail_Exp,failed_breakdown.http_fail_Change%,failed_breakdown.logic_fail_Base,failed_breakdown.logic_fail_Exp,failed_breakdown.logic_fail_Change%,failed_breakdown.timeout_fail_Base,failed_breakdown.timeout_fail_Exp,failed_breakdown.timeout_fail_Change%,failed_breakdown.exception_fail_Base,failed_breakdown.exception_fail_Exp,failed_breakdown.exception_fail_Change%
Global_Summary,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,,,,,,,,,,,,,611.1063,619.0969,1.3076,168.1017,174.4557,3.7799,102728.0000,108005.0000,5.1369,102728.0000,108005.0000,5.1369,102728.0000,108005.0000,5.1369,0.0000,0.0000,0.0000,168.1017,174.4557,3.7799,168.1017,174.4557,3.7799,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
couchdb_test,Task,120.0000,120.0000,0.0000,19.8894,19.8800,-0.0473,22.7406,6.2795,-72.3864,4.7687,2.5059,-47.4513,0.2398,0.1261,-47.4264,4.7522,17.9911,278.5824,31.9393,29.1166,-8.8377,1.6436,1.0527,-35.9492,27.1334,21.8501,-19.4718,30.4789,26.9052,-11.7250,120.0000,120.0000,0.0000,120.0000,120.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disk,Task,4554.0000,4642.0000,1.9324,0.3500,0.3626,3.5982,0.0327,0.0114,-65.2992,0.1809,0.1066,-41.0926,0.5170,0.2940,-43.1386,0.2191,0.2203,0.5526,2.6886,1.4449,-46.2574,0.0913,0.0687,-24.7487,0.4075,0.4107,0.7875,0.5556,0.4487,-19.2492,4554.0000,4642.0000,1.9324,4554.0000,4642.0000,1.9324,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
float_operation,Task,3399.0000,3394.0000,-0.1471,0.5248,0.5416,3.2054,0.0065,0.0031,-52.1245,0.0806,0.0558,-30.8079,0.1537,0.1030,-32.9569,0.3742,0.4232,13.0916,0.8223,0.7003,-14.8386,0.1072,0.0700,-34.7251,0.6572,0.6067,-7.6844,0.6966,0.6303,-9.5203,3399.0000,3394.0000,-0.1471,3399.0000,3394.0000,-0.1471,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
image,Task,158.0000,135.0000,-14.5570,15.2559,17.8423,16.9539,6.5691,2.7596,-57.9914,2.5630,1.6612,-35.1859,0.1680,0.0931,-44.5815,12.5542,15.3228,22.0529,26.7067,24.3130,-8.9629,2.6188,1.4744,-43.6978,18.1921,19.4447,6.8853,20.7563,20.4078,-1.6791,158.0000,135.0000,-14.5570,158.0000,135.0000,-14.5570,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k-means,Task,8120.0000,7885.0000,-2.8941,0.1174,0.1390,18.4122,0.0083,0.0090,8.9706,0.0911,0.0951,4.3890,0.7758,0.6840,-11.8427,0.0327,0.0327,0.1517,3.8811,4.5769,17.9281,0.0766,0.0591,-22.8319,0.1837,0.1947,5.9519,0.1955,0.2018,3.2472,8120.0000,7885.0000,-2.8941,8120.0000,7885.0000,-2.8941,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linpack,Task,9750.0000,9092.0000,-6.7487,0.0724,0.1006,38.9313,0.0010,0.0023,121.7397,0.0323,0.0481,48.9093,0.4460,0.4781,7.1819,0.0244,0.0254,4.0588,0.5101,0.6968,36.6085,0.0524,0.0660,25.9093,0.1098,0.1741,58.6386,0.1183,0.1882,59.0838,9750.0000,9092.0000,-6.7487,9750.0000,9092.0000,-6.7487,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
map_reduce,Task,13290.0000,14176.0000,6.6667,0.0128,0.0128,0.0011,0.0000,0.0000,-11.7718,0.0066,0.0062,-6.0701,0.5164,0.4850,-6.0712,0.0092,0.0090,-2.1193,0.0900,0.0890,-1.1034,0.0023,0.0031,34.9858,0.0163,0.0152,-6.3824,0.0228,0.0188,-17.6167,13290.0000,14176.0000,6.6667,13290.0000,14176.0000,6.6667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
markdown2html,Task,11790.0000,12316.0000,4.4614,0.0309,0.0340,10.2816,0.0011,0.0010,-4.6870,0.0332,0.0324,-2.3716,1.0747,0.9514,-11.4736,0.0149,0.0148,-0.6418,1.2840,1.0195,-20.5974,0.0153,0.0295,92.8480,0.0806,0.0797,-1.1507,0.0926,0.0924,-0.1768,11790.0000,12316.0000,4.4614,11790.0000,12316.0000,4.4614,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matmul,Task,4970.0000,5440.0000,9.4567,0.2994,0.2689,-10.2114,0.0047,0.0025,-45.3055,0.0682,0.0505,-26.0443,0.2278,0.1877,-17.6335,0.1178,0.1175,-0.2554,0.7986,0.6876,-13.8917,0.1120,0.0610,-45.4977,0.3907,0.3362,-13.9392,0.3976,0.3665,-7.8194,4970.0000,5440.0000,9.4567,4970.0000,5440.0000,9.4567,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
network,Task,8522.0000,9802.0000,15.0199,0.1049,0.0840,-19.9089,0.0123,0.0051,-58.5277,0.1107,0.0713,-35.6010,1.0552,0.8485,-19.5928,0.0332,0.0333,0.2180,2.1048,1.1241,-46.5951,0.0679,0.0642,-5.4084,0.1727,0.1365,-20.9682,0.2564,0.1721,-32.8611,8522.0000,9802.0000,15.0199,8522.0000,9802.0000,15.0199,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recognizer_adult,Task,181.0000,157.0000,-13.2597,13.0767,15.2428,16.5650,8.8790,12.1687,37.0497,2.9798,3.4884,17.0682,0.2279,0.2289,0.4317,8.8426,10.9607,23.9539,30.5884,36.5873,19.6115,2.1814,3.4040,56.0493,16.4389,17.3113,5.3068,17.3408,18.3667,5.9163,181.0000,157.0000,-13.2597,181.0000,157.0000,-13.2597,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recognizer_censor,Task,10025.0000,11116.0000,10.8828,0.0056,0.0053,-6.1809,0.0002,0.0001,-14.6651,0.0123,0.0114,-7.6231,2.1988,2.1650,-1.5372,0.0018,0.0017,-3.3958,0.1695,0.1120,-33.9059,0.0014,0.0014,5.9587,0.0051,0.0050,-2.3060,0.0070,0.0061,-12.8601,10025.0000,11116.0000,10.8828,10025.0000,11116.0000,10.8828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recognizer_extract,Task,574.0000,585.0000,1.9164,3.9314,3.8957,-0.9074,0.5399,0.2944,-45.4705,0.7348,0.5426,-26.1559,0.1869,0.1393,-25.4797,2.2855,2.3172,1.3867,8.2865,8.2778,-0.1047,0.3231,0.3643,12.7269,4.4648,4.2273,-5.3196,5.4942,4.5775,-16.6839,574.0000,585.0000,1.9164,574.0000,585.0000,1.9164,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recognizer_mosaic,Task,1080.0000,1116.0000,3.3333,1.9822,1.9343,-2.4158,0.4986,0.2187,-56.1429,0.7061,0.4676,-33.7753,0.3562,0.2418,-32.1359,1.2104,1.2452,2.8703,6.9410,7.3547,5.9601,0.3245,0.2618,-19.3397,2.3096,2.1435,-7.1944,3.3711,2.4011,-28.7760,1080.0000,1116.0000,3.3333,1080.0000,1116.0000,3.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recognizer_translate,Task,6783.0000,7334.0000,8.1232,0.1087,0.1083,-0.4138,0.0002,0.0001,-20.0764,0.0127,0.0113,-10.6000,0.1165,0.1046,-10.2285,0.1059,0.1058,-0.0648,0.6790,0.6469,-4.7162,0.0018,0.0021,13.7716,0.1103,0.1105,0.1797,0.1125,0.1123,-0.0997,6783.0000,7334.0000,8.1232,6783.0000,7334.0000,8.1232,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recognizer_upload,Task,1027.0000,1065.0000,3.7001,2.1014,2.0417,-2.8389,0.7597,0.3613,-52.4493,0.8716,0.6011,-31.0430,0.4148,0.2944,-29.0282,0.2065,0.1638,-20.6535,9.0994,7.9435,-12.7038,0.3822,0.3365,-11.9724,2.5615,2.4235,-5.3882,3.7126,2.6817,-27.7682,1027.0000,1065.0000,3.7001,1027.0000,1065.0000,3.7001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recognizer_violence,Task,180.0000,180.0000,0.0000,13.2180,13.2841,0.5002,8.2427,11.4126,38.4563,2.8710,3.3783,17.6675,0.2172,0.2543,17.0818,8.9856,9.5414,6.1851,26.7548,32.8739,22.8711,2.8401,4.8829,71.9252,16.4458,16.7296,1.7256,17.6139,17.2319,-2.1688,180.0000,180.0000,0.0000,180.0000,180.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svd_compute,Task,993.0000,1065.0000,7.2508,2.1767,2.0351,-6.5023,0.5230,0.2209,-57.7636,0.7232,0.4700,-35.0105,0.3323,0.2310,-30.4908,1.1227,1.2235,8.9772,9.2999,6.2409,-32.8927,0.3230,0.2757,-14.6393,2.5793,2.2823,-11.5176,3.6894,2.5969,-29.6122,993.0000,1065.0000,7.2508,993.0000,1065.0000,7.2508,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svd_merge,Task,2691.0000,2717.0000,0.9662,0.6576,0.6709,2.0146,0.1615,0.0815,-49.5515,0.4019,0.2855,-28.9729,0.6112,0.4255,-30.3755,0.1805,0.2536,40.4763,5.0917,4.5993,-9.6705,0.2010,0.1937,-3.6419,0.8578,0.8508,-0.8098,1.1812,0.9739,-17.5496,2691.0000,2717.0000,0.9662,2691.0000,2717.0000,0.9662,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svd_start,Task,847.0000,871.0000,2.8335,2.6000,2.5423,-2.2167,1.1323,0.5221,-53.8928,1.0641,0.7225,-32.0977,0.4093,0.2842,-30.5584,0.5407,0.3921,-27.4761,10.7439,9.4153,-12.3663,0.4455,0.4288,-3.7452,3.0345,2.8926,-4.6759,4.7871,3.3162,-30.7268,847.0000,871.0000,2.8335,847.0000,871.0000,2.8335,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
video_merge,Task,533.0000,549.0000,3.0019,4.2620,4.1562,-2.4841,2.0182,0.7587,-62.4095,1.4206,0.8710,-38.6889,0.3333,0.2096,-37.1271,1.6316,3.1405,92.4778,14.7533,10.9746,-25.6125,0.4881,0.4787,-1.9157,5.2055,4.5573,-12.4528,7.1219,5.4007,-24.1676,533.0000,549.0000,3.0019,533.0000,549.0000,3.0019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
video_split,Task,113.0000,118.0000,4.4248,21.0039,20.1650,-3.9944,18.8754,12.5984,-33.2548,4.3446,3.5494,-18.3023,0.2068,0.1760,-14.9031,12.4961,5.8926,-52.8445,35.0789,37.2092,6.0730,2.4759,1.3098,-47.0990,28.2565,22.2894,-21.1177,31.4545,26.7353,-15.0031,113.0000,118.0000,4.4248,113.0000,118.0000,4.4248,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
video_transcode,Task,118.0000,125.0000,5.9322,20.2071,19.1264,-5.3484,4.5980,2.9981,-34.7970,2.1443,1.7315,-19.2516,0.1061,0.0905,-14.6888,15.3701,15.8684,3.2422,26.9500,25.9707,-3.6337,2.9416,2.4173,-17.8243,23.0817,20.6897,-10.3631,24.0915,22.7214,-5.6872,118.0000,125.0000,5.9322,118.0000,125.0000,5.9322,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
