Task,count_Base,count_Exp,count_Change%,mean_Base,mean_Exp,mean_Change%,variance_Base,variance_Exp,variance_Change%,std_Base,std_Exp,std_Change%,cv_Base,cv_Exp,cv_Change%,min_Base,min_Exp,min_Change%,max_Base,max_Exp,max_Change%,iqr_Base,iqr_Exp,iqr_Change%,p90_Base,p90_Exp,p90_Change%,p95_Base,p95_Exp,p95_Change%,total_time_Base,total_time_Exp,total_time_Change%,throughput_Base,throughput_Exp,throughput_Change%,completed_requests_Base,completed_requests_Exp,completed_requests_Change%
Global_Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618.0730,615.0110,-0.4954,158.6463,166.2881,4.8169,98055.0000,102269.0000,4.2976
couchdb_test,84.0000,96.0000,14.2857,28.4702,24.9117,-12.4992,253.9912,109.6260,-56.8387,15.9371,10.4702,-34.3027,0.5598,0.4203,-24.9181,15.6398,17.6500,12.8533,74.4286,66.2287,-11.0172,7.6059,1.7193,-77.3955,58.6077,33.2811,-43.2139,60.2764,54.3696,-9.7996,,,,,,,,,
disk,3729.0000,4005.0000,7.4014,0.4791,0.4514,-5.7778,0.1523,0.0815,-46.4930,0.3903,0.2855,-26.8515,0.8146,0.6324,-22.3660,0.1779,0.2236,25.6914,2.4465,2.4467,0.0069,0.1161,0.0644,-44.5246,1.1514,0.6304,-45.2449,1.4684,1.1477,-21.8419,,,,,,,,,
float_operation,3258.0000,3272.0000,0.4297,0.5775,0.5773,-0.0434,0.0074,0.0117,57.1240,0.0863,0.1082,25.3491,0.1494,0.1874,25.4036,0.4193,0.3920,-6.5065,0.8840,0.8861,0.2441,0.1128,0.1899,68.3234,0.6980,0.7199,3.1315,0.7381,0.7619,3.2255,,,,,,,,,
image,136.0000,137.0000,0.7353,17.6904,17.5919,-0.5565,36.9789,29.6807,-19.7361,6.0810,5.4480,-10.4099,0.3437,0.3097,-9.9085,13.3092,13.5212,1.5931,33.8367,34.8457,2.9819,8.1483,1.4107,-82.6873,28.3487,28.9955,2.2816,29.8722,31.7453,6.2706,,,,,,,,,
k-means,8591.0000,8231.0000,-4.1904,0.1225,0.1388,13.2951,0.0088,0.0088,0.0264,0.0940,0.0940,0.0132,0.7669,0.6770,-11.7233,0.0327,0.0324,-0.7399,4.1586,4.1295,-0.7004,0.0729,0.0568,-22.0656,0.1880,0.1889,0.4580,0.1989,0.1972,-0.8694,,,,,,,,,
linpack,10258.0000,9922.0000,-3.2755,0.0807,0.0906,12.2290,0.0013,0.0017,31.3254,0.0355,0.0407,14.5973,0.4400,0.4493,2.1102,0.0252,0.0250,-0.9990,0.4955,0.5538,11.7736,0.0521,0.0542,4.0122,0.1205,0.1451,20.4172,0.1454,0.1673,15.0749,,,,,,,,,
map_reduce,15565.0000,15502.0000,-0.4048,0.0143,0.0148,2.9685,0.0001,0.0001,-27.8222,0.0114,0.0097,-15.0425,0.7942,0.6553,-17.4917,0.0092,0.0091,-1.7520,0.0925,0.0951,2.8105,0.0021,0.0039,85.9885,0.0191,0.0206,7.7079,0.0402,0.0316,-21.4669,,,,,,,,,
markdown2html,12939.0000,12941.0000,0.0155,0.0373,0.0389,4.4192,0.0013,0.0014,6.7664,0.0357,0.0369,3.3278,0.9579,0.9479,-1.0452,0.0149,0.0148,-0.7027,1.4347,1.5735,9.6730,0.0395,0.0410,3.8985,0.0841,0.0856,1.7125,0.0940,0.0970,3.2700,,,,,,,,,
matmul,5168.0000,5399.0000,4.4698,0.2968,0.2826,-4.7994,0.0045,0.0030,-33.0647,0.0670,0.0548,-18.1860,0.2258,0.1940,-14.0614,0.1177,0.1200,1.9296,0.7026,0.8692,23.7230,0.1090,0.0563,-48.3742,0.3926,0.3668,-6.5788,0.3980,0.3883,-2.4280,,,,,,,,,
network,7147.0000,8562.0000,19.7985,0.1725,0.1280,-25.8363,0.0574,0.0298,-48.1220,0.2396,0.1725,-27.9736,1.3884,1.3484,-2.8819,0.0336,0.0335,-0.3210,2.2251,2.1583,-3.0012,0.0942,0.0769,-18.3930,0.5058,0.2141,-57.6738,0.7300,0.4803,-34.1974,,,,,,,,,
recognizer_adult,165.0000,152.0000,-7.8788,14.3241,15.7422,9.9002,15.8001,13.2795,-15.9531,3.9749,3.6441,-8.3229,0.2775,0.2315,-16.5815,9.7100,10.9000,12.2550,30.4839,36.4773,19.6609,5.2143,3.0387,-41.7239,19.4516,18.6792,-3.9709,20.7981,20.0816,-3.4452,,,,,,,,,
