Task,count_Base,count_Exp,count_Change%,mean_Base,mean_Exp,mean_Change%,variance_Base,variance_Exp,variance_Change%,std_Base,std_Exp,std_Change%,cv_Base,cv_Exp,cv_Change%,min_Base,min_Exp,min_Change%,max_Base,max_Exp,max_Change%,iqr_Base,iqr_Exp,iqr_Change%,p90_Base,p90_Exp,p90_Change%,p95_Base,p95_Exp,p95_Change%,total_time_Base,total_time_Exp,total_time_Change%,throughput_Base,throughput_Exp,throughput_Change%,completed_requests_Base,completed_requests_Exp,completed_requests_Change%
recognizer_censor,8634.0000,9716.0000,12.5319,0.0057,0.0053,-7.2253,0.0002,0.0001,-26.4059,0.0123,0.0106,-14.2130,2.1560,1.9937,-7.5318,0.0018,0.0018,-3.2066,0.1674,0.1081,-35.4190,0.0014,0.0016,15.6100,0.0055,0.0056,2.5418,0.0079,0.0077,-2.6238,,,,,,,,,
recognizer_extract,479.0000,525.0000,9.6033,4.7519,4.3292,-8.8960,5.0678,2.0884,-58.7904,2.2512,1.4451,-35.8053,0.4737,0.3338,-29.5369,2.0072,2.3506,17.1087,13.9328,10.5713,-24.1268,0.9543,0.3967,-58.4300,8.2305,7.0201,-14.7064,9.3135,7.8731,-15.4653,,,,,,,,,
recognizer_mosaic,866.0000,977.0000,12.8176,2.4968,2.2117,-11.4199,3.6265,1.5158,-58.2026,1.9043,1.2312,-35.3491,0.7627,0.5567,-27.0141,0.9974,1.1982,20.1335,11.3184,9.7608,-13.7616,0.4280,0.3467,-19.0092,5.7314,3.3650,-41.2883,7.2290,5.7118,-20.9883,,,,,,,,,
recognizer_translate,5935.0000,6549.0000,10.3454,0.1086,0.1090,0.4402,0.0002,0.0002,-17.8123,0.0136,0.0123,-9.3425,0.1253,0.1131,-9.7399,0.1059,0.1058,-0.0959,0.7902,0.6584,-16.6853,0.0018,0.0027,52.8828,0.1098,0.1129,2.8783,0.1105,0.1159,4.8863,,,,,,,,,
recognizer_upload,758.0000,835.0000,10.1583,2.9164,2.6413,-9.4348,5.6900,2.5613,-54.9859,2.3854,1.6004,-32.9075,0.8179,0.6059,-25.9180,0.0357,0.0335,-6.2027,15.4044,11.4027,-25.9777,0.4513,0.4241,-6.0189,7.0146,4.0310,-42.5339,8.5896,6.6839,-22.1860,,,,,,,,,
recognizer_violence,175.0000,174.0000,-0.5714,13.5532,13.6846,0.9693,14.5594,14.7804,1.5180,3.8157,3.8445,0.7561,0.2815,0.2809,-0.2111,9.7458,8.2513,-15.3353,26.0815,33.9842,30.3003,4.7096,5.0238,6.6709,20.1390,17.7295,-11.9644,21.3988,20.5256,-4.0803,,,,,,,,,
svd_compute,775.0000,867.0000,11.8710,2.8429,2.5329,-10.9055,3.4671,1.5850,-54.2842,1.8620,1.2590,-32.3865,0.6550,0.4970,-24.1103,1.0791,1.4020,29.9209,11.7128,8.7692,-25.1316,0.5187,0.3619,-30.2271,5.9989,4.2393,-29.3326,7.1864,5.6741,-21.0444,,,,,,,,,
svd_merge,2024.0000,2103.0000,3.9032,0.9359,0.9076,-3.0280,0.9592,0.5291,-44.8344,0.9794,0.7274,-25.7265,1.0464,0.8015,-23.4072,0.2453,0.3223,31.3858,6.9195,7.2736,5.1173,0.2637,0.2614,-0.8681,2.0861,1.1940,-42.7653,3.3637,2.5700,-23.5978,,,,,,,,,
svd_start,621.0000,678.0000,9.1787,3.6238,3.3116,-8.6156,8.7305,4.0068,-54.1057,2.9547,2.0017,-32.2546,0.8154,0.6045,-25.8677,0.4505,0.4220,-6.3208,18.2177,13.4970,-25.9125,0.5953,0.4878,-18.0585,8.8233,5.5294,-37.3313,10.5143,8.5022,-19.1365,,,,,,,,,
video_merge,429.0000,485.0000,13.0536,5.3445,4.7164,-11.7525,15.4453,6.6774,-56.7675,3.9301,2.5841,-34.2486,0.7353,0.5479,-25.4921,2.7329,1.9085,-30.1640,27.0080,17.2943,-35.9662,0.6941,0.6001,-13.5524,11.9947,7.8750,-34.3460,14.5388,11.4329,-21.3631,,,,,,,,,
video_split,86.0000,97.0000,12.7907,27.7178,24.5535,-11.4160,293.7608,125.6220,-57.2366,17.1395,11.2081,-34.6063,0.6184,0.4565,-26.1788,1.5870,1.5366,-3.1780,83.2658,62.3459,-25.1242,7.5512,2.1985,-70.8853,58.2828,39.1316,-32.8591,68.2232,54.0556,-20.7665,,,,,,,,,
video_transcode,101.0000,107.0000,5.9406,23.9259,22.6105,-5.4978,44.9813,19.9980,-55.5416,6.7068,4.4719,-33.3228,0.2803,0.1978,-29.4438,16.6770,17.5180,5.0430,45.2037,38.5920,-14.6266,8.2269,2.8562,-65.2820,34.5979,29.4542,-14.8672,37.3789,32.8435,-12.1338,,,,,,,,,
video_upload,160.0000,182.0000,13.7500,14.7657,12.9655,-12.1916,96.9746,42.2191,-56.4637,9.8476,6.4976,-34.0179,0.6669,0.5011,-24.8568,0.2955,0.2124,-28.1375,52.9589,40.4834,-23.5568,2.4991,1.4243,-43.0081,29.9870,19.8764,-33.7164,39.4778,33.1786,-15.9563,,,,,,,,,
wordcount_count,2059.0000,2129.0000,3.3997,0.9135,0.8956,-1.9632,0.9215,0.5400,-41.4009,0.9599,0.7348,-23.4499,1.0508,0.8205,-21.9170,0.0928,0.1152,24.0842,7.1767,6.9021,-3.8259,0.2546,0.2493,-2.0674,2.0875,1.1552,-44.6612,3.1893,2.4996,-21.6259,,,,,,,,,
wordcount_merge,5552.0000,6177.0000,11.2572,0.1704,0.1525,-10.4664,0.0492,0.0269,-45.2654,0.2218,0.1641,-26.0172,1.3018,1.0757,-17.3687,0.0273,0.0439,60.6754,1.8632,2.2759,22.1483,0.0877,0.0845,-3.7258,0.3963,0.2325,-41.3403,0.6755,0.4188,-37.9961,,,,,,,,,
wordcount_start,2361.0000,2449.0000,3.7272,0.7688,0.7510,-2.3139,0.7053,0.4071,-42.2798,0.8398,0.6381,-24.0262,1.0924,0.8496,-22.2267,0.0113,0.0123,9.6213,6.4663,5.8467,-9.5818,0.2224,0.2240,0.7314,1.8012,1.0211,-43.3112,2.8186,2.0690,-26.5969,,,,,,,,,
