Task,Type,count_Base,count_Exp,count_Change%,mean_Base,mean_Exp,mean_Change%,variance_Base,variance_Exp,variance_Change%,std_Base,std_Exp,std_Change%,cv_Base,cv_Exp,cv_Change%,min_Base,min_Exp,min_Change%,max_Base,max_Exp,max_Change%,iqr_Base,iqr_Exp,iqr_Change%,p90_Base,p90_Exp,p90_Change%,p95_Base,p95_Exp,p95_Change%,attempts_Base,attempts_Exp,attempts_Change%,success_Base,success_Exp,success_Change%,failed_Base,failed_Exp,failed_Change%,failure_rate_Base,failure_rate_Exp,failure_rate_Change%,http_fail_Base,http_fail_Exp,http_fail_Change%,logic_fail_Base,logic_fail_Exp,logic_fail_Change%,timeout_fail_Base,timeout_fail_Exp,timeout_fail_Change%,exception_fail_Base,exception_fail_Exp,exception_fail_Change%,total_time_Base,total_time_Exp,total_time_Change%,throughput_Base,throughput_Exp,throughput_Change%,completed_requests_Base,completed_requests_Exp,completed_requests_Change%,attempted_requests_Base,attempted_requests_Exp,attempted_requests_Change%,successful_requests_Base,successful_requests_Exp,successful_requests_Change%,failed_requests_Base,failed_requests_Exp,failed_requests_Change%,attempt_throughput_Base,attempt_throughput_Exp,attempt_throughput_Change%,success_throughput_Base,success_throughput_Exp,success_throughput_Change%,failed_breakdown.http_fail_Base,failed_breakdown.http_fail_Exp,failed_breakdown.http_fail_Change%,failed_breakdown.logic_fail_Base,failed_breakdown.logic_fail_Exp,failed_breakdown.logic_fail_Change%,failed_breakdown.timeout_fail_Base,failed_breakdown.timeout_fail_Exp,failed_breakdown.timeout_fail_Change%,failed_breakdown.exception_fail_Base,failed_breakdown.exception_fail_Exp,failed_breakdown.exception_fail_Change%
network,Task,9110.0000,9193.0000,0.9111,0.0946,0.1028,8.5978,0.0091,0.0116,27.2666,0.0955,0.1077,12.8125,1.0090,1.0481,3.8810,0.0335,0.0330,-1.2899,1.4767,1.3025,-11.7915,0.0679,0.0719,5.9375,0.1523,0.1764,15.8326,0.2043,0.2775,35.8302,9110.0000,9193.0000,0.9111,9110.0000,9193.0000,0.9111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recognizer_adult,Task,183.0000,152.0000,-16.9399,12.9343,15.7419,21.7065,7.8587,13.8285,75.9640,2.8033,3.7187,32.6514,0.2167,0.2362,8.9929,10.3274,10.7280,3.8787,25.7076,34.7039,34.9949,4.3119,3.0822,-28.5194,16.2365,18.4122,13.4001,16.8583,19.7475,17.1379,183.0000,152.0000,-16.9399,183.0000,152.0000,-16.9399,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recognizer_censor,Task,10456.0000,10666.0000,2.0084,0.0055,0.0052,-4.6293,0.0001,0.0001,6.3333,0.0105,0.0109,3.1180,1.9318,2.0887,8.1234,0.0018,0.0018,-1.1674,0.1235,0.1062,-13.9603,0.0014,0.0015,6.7580,0.0052,0.0052,0.4253,0.0061,0.0072,17.3238,10456.0000,10666.0000,2.0084,10456.0000,10666.0000,2.0084,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recognizer_extract,Task,593.0000,559.0000,-5.7336,3.8051,4.0705,6.9757,0.4381,0.7106,62.2062,0.6619,0.8430,27.3602,0.1740,0.2071,19.0553,2.2721,2.4405,7.4081,7.0473,8.4998,20.6111,0.3902,0.4183,7.1986,4.2029,5.0800,20.8702,5.6001,6.0848,8.6548,593.0000,559.0000,-5.7336,593.0000,559.0000,-5.7336,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recognizer_mosaic,Task,1174.0000,1046.0000,-10.9029,1.8096,2.0674,14.2453,0.2968,0.4910,65.4421,0.5448,0.7007,28.6243,0.3010,0.3389,12.5861,0.9619,0.9573,-0.4850,5.5899,6.6807,19.5139,0.2860,0.3396,18.7448,2.0366,2.8278,38.8478,3.1515,3.7236,18.1556,1174.0000,1046.0000,-10.9029,1174.0000,1046.0000,-10.9029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recognizer_translate,Task,7011.0000,7084.0000,1.0412,0.1088,0.1086,-0.1763,0.0001,0.0001,-19.1620,0.0122,0.0109,-10.0901,0.1119,0.1007,-9.9312,0.1059,0.1058,-0.1142,0.6818,0.6080,-10.8305,0.0022,0.0026,18.8418,0.1107,0.1119,1.0090,0.1122,0.1134,1.0221,7011.0000,7084.0000,1.0412,7011.0000,7084.0000,1.0412,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recognizer_upload,Task,1085.0000,953.0000,-12.1659,1.9860,2.2972,15.6729,0.4855,0.8054,65.9167,0.6967,0.8975,28.8086,0.3508,0.3907,11.3559,0.5988,0.1594,-73.3729,6.8487,7.4209,8.3551,0.3485,0.4993,43.2910,2.3298,3.2223,38.3071,3.5482,4.2591,20.0384,1085.0000,953.0000,-12.1659,1085.0000,953.0000,-12.1659,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recognizer_violence,Task,183.0000,167.0000,-8.7432,12.9685,14.2500,9.8815,7.4901,8.8331,17.9294,2.7368,2.9720,8.5953,0.2110,0.2086,-1.1705,8.9797,10.3311,15.0490,25.9297,31.3707,20.9838,3.7302,3.7240,-0.1678,16.0637,16.8815,5.0909,17.0014,17.4027,2.3601,183.0000,167.0000,-8.7432,183.0000,167.0000,-8.7432,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svd_compute,Task,1030.0000,909.0000,-11.7476,2.1013,2.4140,14.8847,0.3717,0.5362,44.2554,0.6097,0.7323,20.1064,0.2901,0.3033,4.5451,1.3123,1.3388,2.0165,6.1342,6.9252,12.8948,0.3593,0.3760,4.6307,2.5087,3.1927,27.2654,3.3990,4.0863,20.2204,1030.0000,909.0000,-11.7476,1030.0000,909.0000,-11.7476,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svd_merge,Task,2757.0000,2565.0000,-6.9641,0.6461,0.7166,10.9169,0.1051,0.1469,39.7121,0.3243,0.3833,18.1999,0.5019,0.5349,6.5662,0.2044,0.2212,8.2236,3.7019,3.9774,7.4426,0.1936,0.2328,20.2566,0.8365,0.9922,18.6130,1.0160,1.5144,49.0603,2757.0000,2565.0000,-6.9641,2757.0000,2565.0000,-6.9641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svd_start,Task,892.0000,781.0000,-12.4439,2.4657,2.8564,15.8463,0.7749,1.1823,52.5694,0.8803,1.0873,23.5190,0.3570,0.3807,6.6232,0.5668,1.1300,99.3681,8.0442,9.4878,17.9466,0.4302,0.5786,34.5138,2.7891,4.1444,48.5937,4.3322,5.3908,24.4353,892.0000,781.0000,-12.4439,892.0000,781.0000,-12.4439,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
video_merge,Task,616.0000,543.0000,-11.8506,3.6633,4.1921,14.4332,1.1357,1.8341,61.4993,1.0657,1.3543,27.0824,0.2909,0.3231,11.0538,1.5923,1.5090,-5.2308,9.5088,10.7256,12.7964,0.4524,0.6416,41.8291,4.1494,5.7109,37.6325,6.2144,7.3491,18.2604,616.0000,543.0000,-11.8506,616.0000,543.0000,-11.8506,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
video_split,Task,121.0000,105.0000,-13.2231,19.6621,22.6511,15.2015,18.3969,30.2453,64.4040,4.2892,5.4996,28.2201,0.2181,0.2428,11.3007,3.7170,6.8291,83.7241,34.7418,42.6640,22.8032,1.7489,3.0339,73.4714,26.2899,31.7313,20.6976,27.7275,35.3672,27.5530,121.0000,105.0000,-13.2231,121.0000,105.0000,-13.2231,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
video_transcode,Task,117.0000,116.0000,-0.8547,20.3488,20.7010,1.7311,2.4275,3.4460,41.9564,1.5580,1.8563,19.1455,0.0766,0.0897,17.1180,18.3501,16.6207,-9.4247,24.8688,29.2477,17.6078,1.1082,1.0842,-2.1667,23.1016,22.9456,-0.6754,23.9626,24.5324,2.3778,117.0000,116.0000,-0.8547,117.0000,116.0000,-0.8547,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
video_upload,Task,230.0000,200.0000,-13.0435,10.2156,11.7775,15.2891,5.5598,10.7233,92.8726,2.3579,3.2747,38.8786,0.2308,0.2780,20.4611,5.1987,1.8660,-64.1068,21.4839,26.8384,24.9234,1.8211,2.5368,39.2962,13.0621,15.6906,20.1235,15.3534,19.0112,23.8246,230.0000,200.0000,-13.0435,230.0000,200.0000,-13.0435,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wordcount_count,Task,2762.0000,2593.0000,-6.1188,0.6422,0.7055,9.8523,0.1077,0.1551,44.0843,0.3281,0.3939,20.0351,0.5109,0.5583,9.2695,0.1207,0.1934,60.2691,3.6679,3.7841,3.1697,0.1991,0.2376,19.3478,0.8230,0.9554,16.0752,0.9962,1.4283,43.3810,2762.0000,2593.0000,-6.1188,2762.0000,2593.0000,-6.1188,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wordcount_merge,Task,7160.0000,7110.0000,-0.6983,0.1126,0.1188,5.4878,0.0069,0.0086,24.0628,0.0833,0.0928,11.3835,0.7398,0.7811,5.5890,0.0346,0.0283,-18.1777,1.1029,0.9354,-15.1862,0.0645,0.0777,20.5112,0.1755,0.1912,8.9113,0.2337,0.2380,1.8592,7160.0000,7110.0000,-0.6983,7160.0000,7110.0000,-0.6983,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wordcount_start,Task,3282.0000,2961.0000,-9.7806,0.5081,0.5901,16.1350,0.0798,0.1275,59.7592,0.2825,0.3571,26.3959,0.5560,0.6051,8.8353,0.0431,0.1827,323.5632,3.4377,4.2803,24.5106,0.1762,0.2067,17.2927,0.6741,0.8437,25.1605,0.8472,1.2156,43.4882,3282.0000,2961.0000,-9.7806,3282.0000,2961.0000,-9.7806,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
