Task,Type,count_Base,count_Exp,count_Change%,mean_Base,mean_Exp,mean_Change%,variance_Base,variance_Exp,variance_Change%,std_Base,std_Exp,std_Change%,cv_Base,cv_Exp,cv_Change%,min_Base,min_Exp,min_Change%,max_Base,max_Exp,max_Change%,iqr_Base,iqr_Exp,iqr_Change%,p90_Base,p90_Exp,p90_Change%,p95_Base,p95_Exp,p95_Change%,attempts_Base,attempts_Exp,attempts_Change%,success_Base,success_Exp,success_Change%,failed_Base,failed_Exp,failed_Change%,failure_rate_Base,failure_rate_Exp,failure_rate_Change%,http_fail_Base,http_fail_Exp,http_fail_Change%,logic_fail_Base,logic_fail_Exp,logic_fail_Change%,timeout_fail_Base,timeout_fail_Exp,timeout_fail_Change%,exception_fail_Base,exception_fail_Exp,exception_fail_Change%,total_time_Base,total_time_Exp,total_time_Change%,throughput_Base,throughput_Exp,throughput_Change%,completed_requests_Base,completed_requests_Exp,completed_requests_Change%,attempted_requests_Base,attempted_requests_Exp,attempted_requests_Change%,successful_requests_Base,successful_requests_Exp,successful_requests_Change%,failed_requests_Base,failed_requests_Exp,failed_requests_Change%,attempt_throughput_Base,attempt_throughput_Exp,attempt_throughput_Change%,success_throughput_Base,success_throughput_Exp,success_throughput_Change%,failed_breakdown.http_fail_Base,failed_breakdown.http_fail_Exp,failed_breakdown.http_fail_Change%,failed_breakdown.logic_fail_Base,failed_breakdown.logic_fail_Exp,failed_breakdown.logic_fail_Change%,failed_breakdown.timeout_fail_Base,failed_breakdown.timeout_fail_Exp,failed_breakdown.timeout_fail_Change%,failed_breakdown.exception_fail_Base,failed_breakdown.exception_fail_Exp,failed_breakdown.exception_fail_Change%
Global_Summary,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,,,,,,,,,,,,,613.0636,617.0547,0.6510,173.9444,170.4825,-1.9903,106639.0000,105197.0000,-1.3522,106639.0000,105197.0000,-1.3522,106639.0000,105197.0000,-1.3522,0.0000,0.0000,0.0000,173.9444,170.4825,-1.9903,173.9444,170.4825,-1.9903,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
couchdb_test,Task,124.0000,108.0000,-12.9032,19.2430,22.1086,14.8917,12.1196,27.1843,124.3001,3.4813,5.2139,49.7665,0.1809,0.2358,30.3545,9.4325,14.6070,54.8583,29.4129,37.9122,28.8962,1.7531,3.3760,92.5668,25.6618,31.9245,24.4046,27.2526,35.2486,29.3405,124.0000,108.0000,-12.9032,124.0000,108.0000,-12.9032,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disk,Task,4828.0000,4452.0000,-7.7879,0.3289,0.3824,16.2733,0.0215,0.0261,21.4541,0.1465,0.1614,10.2062,0.4454,0.4221,-5.2179,0.2198,0.2144,-2.4729,1.8026,1.6316,-9.4846,0.0731,0.0797,9.1089,0.3872,0.4543,17.3343,0.4484,0.7163,59.7386,4828.0000,4452.0000,-7.7879,4828.0000,4452.0000,-7.7879,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
float_operation,Task,3549.0000,3456.0000,-2.6205,0.5028,0.5332,6.0524,0.0048,0.0027,-43.0329,0.0693,0.0523,-24.5235,0.1379,0.0982,-28.8309,0.3385,0.4237,25.1712,0.7677,0.6977,-9.1278,0.0808,0.0777,-3.8477,0.6138,0.5989,-2.4176,0.6615,0.6115,-7.5629,3549.0000,3456.0000,-2.6205,3549.0000,3456.0000,-2.6205,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
image,Task,167.0000,143.0000,-14.3713,14.3957,16.7174,16.1275,3.0180,8.3654,177.1866,1.7372,2.8923,66.4892,0.1207,0.1730,43.3676,12.7155,12.8052,0.7053,21.4336,29.1253,35.8860,1.0126,3.3574,231.5657,16.8390,20.7826,23.4194,19.2550,22.4679,16.6858,167.0000,143.0000,-14.3713,167.0000,143.0000,-14.3713,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k-means,Task,8215.0000,7407.0000,-9.8357,0.1175,0.1638,39.4579,0.0082,0.0117,42.4151,0.0905,0.1080,19.3378,0.7706,0.6594,-14.4273,0.0326,0.0330,1.2600,4.0147,4.5690,13.8059,0.0700,0.0599,-14.4200,0.1799,0.2103,16.9336,0.1968,0.2190,11.3048,8215.0000,7407.0000,-9.8357,8215.0000,7407.0000,-9.8357,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linpack,Task,9800.0000,9395.0000,-4.1327,0.0752,0.0977,29.8665,0.0010,0.0020,109.9803,0.0311,0.0451,44.9070,0.4138,0.4618,11.5815,0.0251,0.0250,-0.3508,0.5749,0.5198,-9.5757,0.0492,0.0607,23.5256,0.1127,0.1601,42.0398,0.1198,0.1810,51.0845,9800.0000,9395.0000,-4.1327,9800.0000,9395.0000,-4.1327,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
map_reduce,Task,13640.0000,14845.0000,8.8343,0.0129,0.0138,6.6503,0.0000,0.0001,86.8610,0.0060,0.0082,36.6971,0.4619,0.5921,28.1732,0.0092,0.0091,-1.6799,0.0921,0.0851,-7.6958,0.0035,0.0035,0.2351,0.0165,0.0179,8.0772,0.0194,0.0251,29.3411,13640.0000,14845.0000,8.8343,13640.0000,14845.0000,8.8343,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
markdown2html,Task,12539.0000,12374.0000,-1.3159,0.0249,0.0394,58.2066,0.0007,0.0013,79.1215,0.0273,0.0365,33.8363,1.0949,0.9262,-15.4041,0.0149,0.0149,-0.5072,1.1745,1.3737,16.9602,0.0021,0.0421,1928.6445,0.0532,0.0881,65.4793,0.0792,0.0982,24.0640,12539.0000,12374.0000,-1.3159,12539.0000,12374.0000,-1.3159,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matmul,Task,5015.0000,5314.0000,5.9621,0.3004,0.2851,-5.1046,0.0037,0.0037,1.1491,0.0609,0.0612,0.5729,0.2026,0.2147,5.9829,0.1210,0.1173,-3.0808,0.7799,0.7898,1.2698,0.0985,0.0696,-29.3050,0.3848,0.3793,-1.4425,0.3938,0.3918,-0.5130,5015.0000,5314.0000,5.9621,5015.0000,5314.0000,5.9621,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
