timestamp,CPU_0(group_0),CPU_64(group_0),CPU_2(group_0),CPU_66(group_0),CPU_4(group_0),CPU_68(group_0),CPU_6(group_0),CPU_70(group_0),CPU_8(group_0),CPU_72(group_0),CPU_10(group_0),CPU_74(group_0),CPU_12(group_0),CPU_76(group_0),CPU_14(group_0),CPU_78(group_0),CPU_16(group_0),CPU_80(group_0),CPU_18(group_0),CPU_82(group_0),CPU_20(group_0),CPU_84(group_0)
1770631191.0075266,49.5,47.6,53.5,51.5,48.5,54.5,50.5,50.5,46.0,47.5,52.0,53.5,49.5,43.6,51.5,47.0,41.6,52.9,57.4,45.5,52.0,53.5
1770631192.0076072,47.5,47.0,46.0,43.6,49.5,50.0,47.0,47.5,51.0,46.1,48.5,50.0,47.5,51.0,43.0,47.1,51.0,46.0,48.5,52.0,43.0,53.8
1770631193.0076861,46.9,49.5,42.0,51.5,44.0,43.1,44.6,52.0,43.4,44.0,39.6,43.1,48.5,47.5,48.0,46.5,50.0,52.4,48.5,54.9,47.5,50.0
1770631194.007752,43.0,49.0,44.1,48.0,52.4,39.0,38.6,41.6,56.4,50.0,42.2,43.6,47.5,50.5,46.1,46.1,49.0,43.4,43.6,47.0,42.6,46.5
1770631195.0082998,41.6,44.0,49.0,38.6,47.5,44.1,37.0,43.7,41.2,47.6,46.5,46.1,47.0,37.0,45.5,37.3,44.6,49.5,46.5,41.6,46.0,37.9
1770631196.0083692,39.0,40.6,46.5,49.0,43.6,50.5,48.0,40.0,43.0,36.4,43.6,34.7,47.1,43.1,48.5,47.0,46.5,44.9,46.5,45.0,50.5,49.0
1770631197.0084455,47.0,51.0,52.0,43.4,45.5,52.0,47.6,45.5,51.5,52.0,39.6,53.9,48.0,49.0,51.0,44.6,55.9,54.5,55.4,49.5,56.3,51.5
1770631198.0085268,61.4,53.9,48.0,47.6,56.0,48.5,50.0,45.1,49.5,52.4,50.5,58.4,54.0,54.0,47.5,48.5,54.0,51.0,55.3,50.5,52.9,56.0
1770631199.008594,52.0,44.1,55.0,45.5,45.5,46.0,51.0,49.0,48.5,54.5,52.0,51.5,45.1,51.0,46.5,55.8,52.9,55.9,45.6,55.9,56.9,51.0
1770631200.008679,50.5,52.0,48.5,52.5,52.5,43.6,49.5,44.6,49.0,51.5,40.2,48.0,44.6,52.5,50.0,53.9,47.5,50.0,47.0,41.4,46.5,55.3
1770631201.008753,44.6,58.4,49.5,47.5,42.4,54.5,45.0,44.6,53.9,51.0,50.5,39.0,52.5,47.1,47.5,53.5,50.5,47.5,52.5,46.6,44.6,41.0
1770631202.0091717,54.0,58.4,51.5,48.5,53.0,51.0,53.9,52.5,54.0,54.0,59.4,53.5,52.0,56.9,53.0,50.5,56.0,54.5,56.4,53.5,43.6,53.0
1770631203.0092494,52.5,41.7,49.0,56.4,45.0,51.0,47.5,52.0,51.5,46.0,44.1,52.4,52.5,54.5,52.0,55.0,44.6,39.0,46.1,50.5,52.5,49.5
1770631204.0098634,50.0,48.5,48.0,41.0,51.0,43.0,43.6,42.6,47.1,42.2,47.1,54.9,49.5,43.6,43.6,47.1,52.9,41.6,45.1,45.0,50.0,50.5
1770631205.0103347,51.5,56.0,44.6,55.9,48.5,43.3,50.0,48.5,57.4,48.5,48.0,46.0,42.6,53.9,44.0,45.1,51.5,44.6,48.5,41.6,48.5,54.9
1770631206.0104215,50.5,50.0,52.0,51.0,47.5,51.5,49.0,45.1,53.9,49.5,46.1,47.5,50.5,43.4,47.5,53.9,49.5,46.5,53.5,51.0,44.0,45.0
1770631207.010499,45.5,48.1,53.5,46.0,51.0,45.1,48.0,48.5,48.5,43.6,49.5,48.5,52.0,45.6,47.1,52.9,47.6,47.5,50.5,48.5,39.2,53.5
1770631208.0105774,46.0,44.0,43.6,44.1,45.5,38.6,43.6,38.6,40.6,49.5,44.7,30.4,39.6,42.0,41.0,41.6,40.4,44.2,41.0,44.1,38.6,37.6
