timestamp,CPU_0(group_0),CPU_2(group_0),CPU_4(group_0),CPU_6(group_0),CPU_8(group_1),CPU_10(group_1),CPU_12(group_1),CPU_14(group_1),CPU_16(group_2),CPU_18(group_2),CPU_20(group_2),CPU_22(group_2),CPU_24(group_3),CPU_26(group_3),CPU_28(group_3),CPU_30(group_3),CPU_32(group_4),CPU_34(group_4),CPU_36(group_4),CPU_38(group_4),CPU_40(group_5),CPU_42(group_5),CPU_44(group_5),CPU_46(group_5)
1770632372.8863473,1.9,1.5,2.4,2.5,2.0,1.8,1.3,1.9,2.0,2.6,1.8,0.9,0.9,0.9,1.0,0.8,0.7,1.2,0.9,1.0,1.3,0.8,0.9,1.1
1770632373.886422,46.5,50.0,54.0,54.5,53.0,49.0,51.5,58.0,49.0,56.3,48.0,7.1,5.2,5.2,6.2,5.2,5.1,4.1,7.1,8.2,5.1,3.1,7.0,11.0
1770632374.8881586,56.4,55.4,54.0,61.8,55.4,57.4,58.0,56.9,59.8,57.4,53.5,5.2,7.9,6.1,6.2,6.1,5.2,5.1,6.3,7.1,6.1,6.1,5.1,5.1
1770632375.8892603,54.0,58.4,61.4,52.5,58.4,61.0,61.4,60.8,59.0,57.6,62.1,6.1,4.2,5.2,7.1,7.2,7.1,11.1,6.1,6.1,5.1,5.1,6.1,5.1
1770632376.8893442,59.0,52.5,69.6,52.5,54.9,50.5,52.4,48.0,44.6,51.5,57.0,9.2,8.2,10.2,16.3,8.2,6.2,15.5,9.2,22.7,7.2,7.2,8.1,7.1
1770632377.8894255,47.6,45.2,53.0,57.3,47.5,45.2,46.5,51.0,49.0,38.2,47.6,6.1,7.1,15.3,5.2,9.0,8.0,7.0,6.1,36.7,8.1,6.1,6.1,8.1
1770632378.8895113,54.5,50.0,57.8,53.9,55.9,53.9,50.5,52.5,50.0,52.5,50.5,6.2,8.2,14.1,10.1,9.1,10.2,8.1,5.1,19.2,8.2,8.0,8.1,9.3
1770632379.8895943,49.5,55.6,56.6,55.9,56.4,55.4,52.9,52.0,49.5,54.0,58.4,7.1,6.3,7.1,6.2,5.2,6.1,6.2,4.0,6.0,6.1,6.1,7.1,7.1
1770632380.8896763,58.4,59.2,62.0,61.0,51.5,56.4,54.9,60.6,62.0,61.2,65.7,7.2,8.2,7.2,9.2,7.1,5.2,10.0,24.0,5.2,5.2,6.2,6.1,5.1
1770632381.8899057,58.4,58.0,62.7,47.6,59.4,51.0,48.5,59.0,58.3,49.5,54.5,7.0,5.1,4.1,8.1,5.1,5.9,5.2,34.0,6.1,8.1,7.2,4.1,6.0
