Task,count_Base,count_Exp,count_Change%,mean_Base,mean_Exp,mean_Change%,variance_Base,variance_Exp,variance_Change%,std_Base,std_Exp,std_Change%,cv_Base,cv_Exp,cv_Change%,min_Base,min_Exp,min_Change%,max_Base,max_Exp,max_Change%,iqr_Base,iqr_Exp,iqr_Change%,p90_Base,p90_Exp,p90_Change%,p95_Base,p95_Exp,p95_Change%,total_time_Base,total_time_Exp,total_time_Change%,throughput_Base,throughput_Exp,throughput_Change%,completed_requests_Base,completed_requests_Exp,completed_requests_Change%
recognizer_violence,182.0000,161.0000,-11.5385,13.0624,14.7994,13.2978,8.9505,11.1473,24.5447,2.9917,3.3388,11.5996,0.2290,0.2256,-1.4988,10.0069,11.0422,10.3458,31.4887,35.0502,11.3104,3.1162,2.9518,-5.2764,16.0329,16.7860,4.6976,17.1666,17.6945,3.0752,,,,,,,,,
svd_compute,986.0000,1045.0000,5.9838,2.2069,2.0757,-5.9454,0.4970,0.2867,-42.3134,0.7050,0.5355,-24.0483,0.3195,0.2580,-19.2472,1.3807,1.3565,-1.7555,6.9167,6.2760,-9.2623,0.3333,0.3252,-2.4280,2.4601,2.3618,-3.9983,3.5669,2.6472,-25.7840,,,,,,,,,
svd_merge,2686.0000,2798.0000,4.1698,0.6688,0.6400,-4.3045,0.1424,0.0902,-36.6619,0.3773,0.3003,-20.4147,0.5642,0.4692,-16.8349,0.2218,0.2344,5.7036,5.0209,4.2615,-15.1248,0.2077,0.2003,-3.5673,0.8671,0.8326,-3.9762,1.0896,0.9533,-12.5115,,,,,,,,,
svd_start,829.0000,867.0000,4.5838,2.6685,2.5489,-4.4806,1.1949,0.6025,-49.5746,1.0931,0.7762,-28.9892,0.4096,0.3045,-25.6582,0.4346,0.4152,-4.4667,10.8529,8.5678,-21.0551,0.4177,0.4726,13.1352,2.9694,2.9510,-0.6217,4.2742,3.2356,-24.2986,,,,,,,,,
video_merge,559.0000,597.0000,6.7979,4.0646,3.7947,-6.6399,1.9911,1.0225,-48.6473,1.4111,1.0112,-28.3392,0.3472,0.2665,-23.2426,2.2599,2.8332,25.3654,12.8784,11.0564,-14.1476,0.5185,0.4733,-8.7191,4.4328,4.2161,-4.8882,7.0308,4.5581,-35.1699,,,,,,,,,
video_split,110.0000,103.0000,-6.3636,21.6775,23.1233,6.6696,38.9875,30.7198,-21.2061,6.2440,5.5425,-11.2341,0.2880,0.2397,-16.7842,1.6181,1.5786,-2.4381,44.6760,46.1665,3.3362,1.9341,1.1757,-39.2127,25.8594,24.1805,-6.4927,37.9256,27.8549,-26.5539,,,,,,,,,
video_transcode,116.0000,121.0000,4.3103,20.8051,20.1485,-3.1560,4.8417,4.0583,-16.1800,2.2004,2.0145,-8.4467,0.1058,0.1000,-5.4631,16.4417,15.3263,-6.7840,30.5014,26.3476,-13.6183,1.6514,2.8379,71.8405,22.7340,22.0765,-2.8922,25.9166,22.8313,-11.9049,,,,,,,,,
video_upload,216.0000,226.0000,4.6296,10.8975,10.4046,-4.5233,12.8427,6.7851,-47.1674,3.5837,2.6048,-27.3140,0.3289,0.2504,-23.8704,0.3090,0.3181,2.9239,30.6764,24.9838,-18.5570,1.2300,1.1700,-4.8743,12.2293,12.3910,1.3216,17.3723,13.7332,-20.9477,,,,,,,,,
wordcount_count,2718.0000,2824.0000,3.8999,0.6597,0.6329,-4.0556,0.1393,0.0865,-37.9164,0.3732,0.2941,-21.2068,0.5658,0.4646,-17.8762,0.1069,0.1078,0.8983,4.7159,3.6094,-23.4636,0.2050,0.1889,-7.8465,0.8491,0.8245,-2.8998,1.0279,0.9508,-7.5047,,,,,,,,,
wordcount_merge,6704.0000,6826.0000,1.8198,0.1334,0.1364,2.2370,0.0085,0.0062,-26.7009,0.0921,0.0788,-14.3851,0.6904,0.5782,-16.2584,0.0308,0.0368,19.2430,1.6885,1.2705,-24.7513,0.0783,0.0795,1.5491,0.2141,0.2091,-2.3441,0.2535,0.2464,-2.8266,,,,,,,,,
wordcount_start,3091.0000,3229.0000,4.4646,0.5515,0.5255,-4.7293,0.1108,0.0688,-37.8448,0.3328,0.2624,-21.1615,0.6034,0.4993,-17.2479,0.0131,0.0100,-23.1912,4.3576,3.2638,-25.1008,0.1886,0.1791,-5.0349,0.7300,0.7043,-3.5087,0.9168,0.8234,-10.1895,,,,,,,,,
