timestamp,CPU_0(group_0),CPU_64(group_0),CPU_2(group_0),CPU_66(group_0),CPU_4(group_1),CPU_68(group_1),CPU_6(group_1),CPU_70(group_1),CPU_8(group_2),CPU_72(group_2),CPU_10(group_2),CPU_74(group_2),CPU_12(group_3),CPU_76(group_3),CPU_14(group_3),CPU_78(group_3),CPU_16(group_4),CPU_80(group_4),CPU_18(group_4),CPU_82(group_4),CPU_20(group_5),CPU_84(group_5),CPU_22(group_5),CPU_86(group_5)
1770650877.1612897,28.9,24.0,27.0,27.3,47.5,26.3,33.3,40.0,61.4,61.4,58.4,64.7,38.0,35.3,38.6,37.0,52.0,51.5,52.0,52.0,55.0,55.4,57.6,48.0
1770650878.16136,32.3,27.7,30.3,28.7,36.4,37.0,25.5,29.3,58.4,57.6,59.4,70.0,34.7,30.0,36.3,31.0,61.0,53.5,55.6,56.0,60.6,52.0,50.0,48.0
1770650879.161442,31.6,34.3,31.6,31.3,47.0,44.4,36.0,36.1,70.0,68.3,58.0,59.4,37.0,38.4,39.0,40.6,53.0,58.8,56.0,51.5,61.4,60.6,56.0,54.0
1770650880.1615283,31.6,30.7,33.0,29.0,35.0,36.4,37.8,40.2,68.3,68.0,58.0,61.4,43.1,36.6,39.2,41.2,59.0,56.6,62.4,57.1,53.0,56.0,52.5,53.5
1770650881.1615992,30.6,26.0,27.3,26.7,25.5,27.3,28.7,30.6,59.0,65.0,54.5,64.6,35.0,38.6,38.2,34.0,50.0,49.5,54.5,51.0,48.0,51.5,50.5,49.0
1770650882.1616666,31.3,24.0,29.6,25.7,30.3,41.4,33.7,40.0,61.6,64.0,55.6,69.6,32.0,29.7,32.0,33.3,51.0,54.0,55.0,50.0,54.5,45.0,49.5,50.0
1770650883.1617455,33.0,29.7,37.0,27.7,33.3,22.2,36.0,19.2,60.8,60.4,58.4,61.0,25.5,23.5,22.8,27.5,45.9,52.9,47.0,48.5,47.0,50.5,49.0,42.6
1770650884.1618254,28.9,27.0,30.7,28.0,28.0,34.0,38.0,22.4,52.5,55.0,71.0,71.3,33.3,30.1,28.7,28.7,49.0,53.0,50.5,39.4,49.5,50.0,47.5,40.4
1770650885.1629078,30.2,34.7,29.6,30.0,43.4,40.6,46.5,29.3,64.4,61.4,63.0,60.0,30.7,30.0,31.7,31.0,47.0,45.5,52.0,42.4,41.0,40.8,46.5,42.0
1770650886.1629913,32.3,26.0,27.0,24.8,31.3,44.4,47.0,30.3,69.7,55.0,66.3,57.0,37.6,32.7,36.6,40.2,37.6,44.4,34.7,42.0,51.0,55.6,43.4,42.0
1770650887.1630776,31.3,27.3,26.0,22.2,41.0,33.3,41.6,42.6,58.8,58.0,63.0,60.0,30.3,41.0,36.0,34.0,40.8,38.0,42.9,45.5,56.4,66.3,51.0,51.5
1770650888.1631536,31.6,35.4,24.8,28.0,39.0,34.7,45.5,34.3,67.3,57.6,58.8,59.4,26.7,30.0,29.7,23.0,44.0,44.0,39.0,38.8,50.5,52.5,51.0,45.0
1770650889.1632338,33.7,27.3,29.3,29.7,34.7,49.0,46.0,38.0,64.6,58.4,57.0,68.6,37.6,41.6,36.3,37.3,42.0,37.4,38.4,46.5,50.5,51.5,65.0,56.6
1770650890.163306,31.6,33.7,35.0,31.0,33.3,37.0,44.4,33.0,56.1,58.2,67.6,59.4,42.2,43.1,44.1,42.6,47.5,47.5,39.8,45.0,58.0,54.1,53.5,51.5
1770650891.163388,32.3,26.0,27.3,28.0,36.6,32.7,45.5,39.2,64.4,64.4,59.0,61.6,40.6,42.6,40.8,44.1,50.0,55.6,48.5,47.5,54.0,52.0,53.0,61.0
1770650892.1637826,29.3,24.0,30.0,26.3,32.0,22.2,26.0,43.4,60.0,61.4,60.6,53.5,21.8,19.8,23.8,19.0,53.5,53.0,51.0,51.0,44.0,53.9,54.0,55.0
1770650893.1638508,32.0,33.7,29.6,33.0,32.0,26.8,27.6,28.0,63.0,63.7,64.0,57.6,23.0,23.0,22.0,20.2,53.1,54.0,48.5,55.6,55.6,55.6,58.8,51.0
1770650894.1639287,26.8,28.3,27.0,29.0,39.8,41.0,40.4,41.0,65.0,56.6,63.4,67.6,33.7,31.7,38.6,38.6,59.0,62.0,66.3,61.8,53.5,58.4,66.7,63.0
