timestamp,CPU_0(group_0),CPU_64(group_0),CPU_2(group_1),CPU_66(group_1),CPU_4(group_2),CPU_68(group_2),CPU_6(group_3),CPU_70(group_3),CPU_8(group_4),CPU_72(group_4),CPU_10(group_5),CPU_74(group_5),CPU_12(group_6),CPU_76(group_6),CPU_14(group_7),CPU_78(group_7),CPU_16(group_8),CPU_80(group_8),CPU_18(group_9),CPU_82(group_9),CPU_20(group_10),CPU_84(group_10),CPU_22(group_11),CPU_86(group_11),CPU_24(group_12),CPU_88(group_12),CPU_26(group_13),CPU_90(group_13),CPU_28(group_14),CPU_92(group_14),CPU_30(group_15),CPU_94(group_15),CPU_32(group_16),CPU_96(group_16),CPU_34(group_17),CPU_98(group_17),CPU_36(group_18),CPU_100(group_18),CPU_38(group_19),CPU_102(group_19),CPU_40(group_20),CPU_104(group_20),CPU_42(group_21),CPU_106(group_21),CPU_44(group_22),CPU_108(group_22),CPU_46(group_23),CPU_110(group_23),CPU_48(group_24),CPU_112(group_24),CPU_50(group_25),CPU_114(group_25),CPU_52(group_26),CPU_116(group_26)
1770631580.2263799,60.4,57.4,65.7,55.4,59.4,60.0,58.0,63.0,58.3,60.0,71.3,59.2,65.3,65.3,65.3,61.4,60.8,62.4,61.8,63.0,67.0,58.0,9.3,6.2,11.3,9.2,9.3,7.1,8.2,9.3,8.2,6.3,8.2,10.2,8.1,8.2,9.1,6.2,14.0,11.2,15.5,7.1,18.8,8.2,7.1,11.2,7.1,8.1,6.2,13.3,7.1,8.2,6.3,8.2
1770631581.226454,59.2,62.0,61.6,59.4,60.0,56.4,57.6,58.0,61.2,66.0,68.3,65.7,55.4,64.1,58.4,56.0,62.0,61.8,58.6,61.0,56.4,70.3,14.1,11.1,9.0,10.3,11.2,11.3,9.0,8.2,8.2,5.2,7.2,7.2,6.3,7.2,7.3,6.1,8.2,9.1,7.1,12.1,9.3,6.3,6.1,8.2,7.1,8.2,5.2,7.1,5.1,6.1,8.0,18.4
1770631582.2265234,57.0,49.0,55.0,50.5,52.0,48.5,51.0,51.0,56.9,54.4,53.5,55.0,57.0,52.5,52.0,50.5,58.0,52.9,59.2,52.4,53.0,46.5,5.1,13.1,4.1,6.1,8.1,6.1,3.1,8.0,5.0,5.1,3.0,5.1,6.1,4.1,5.1,4.0,4.1,5.2,5.1,6.1,5.1,7.0,4.0,9.1,4.1,3.1,5.0,6.1,4.0,5.0,5.1,6.1
1770631583.2271035,57.0,55.0,42.0,51.5,46.5,45.1,48.0,58.4,58.4,52.0,53.5,47.1,50.0,46.6,46.1,54.9,48.5,60.2,49.5,51.0,49.0,44.6,9.2,4.1,5.1,4.1,9.3,5.1,6.2,4.1,9.3,6.1,5.1,28.3,6.1,4.0,3.1,3.1,5.1,5.0,6.1,2.0,5.1,5.1,5.9,7.1,2.0,6.1,3.1,4.1,6.1,5.1,3.1,5.0
1770631584.2271721,58.0,42.4,44.4,41.4,43.6,41.4,49.0,50.0,46.5,50.5,45.5,46.5,55.0,46.1,53.9,52.5,43.6,52.5,51.5,48.0,42.4,49.5,10.1,4.1,4.1,4.1,5.0,3.1,6.0,7.0,5.1,5.1,4.0,30.0,5.1,3.1,7.0,3.0,5.0,4.1,6.1,5.0,11.0,4.0,3.1,3.1,5.1,4.0,6.1,5.1,7.1,5.1,8.1,3.0
1770631585.2272441,53.5,49.0,57.3,57.8,55.4,53.9,51.0,54.5,57.0,52.9,53.4,55.0,48.0,51.5,48.0,46.1,57.8,54.0,55.4,55.4,49.5,52.9,5.2,6.1,6.1,9.1,5.1,7.1,5.2,5.2,4.1,5.2,4.0,5.2,3.1,9.9,4.1,3.1,3.1,10.0,6.1,32.3,5.1,4.1,6.0,7.0,5.1,11.0,5.1,4.0,13.3,4.0,3.1,4.1
1770631586.2273128,52.5,55.4,49.0,55.9,44.0,61.4,55.0,50.0,54.0,50.0,48.5,52.4,48.5,53.5,44.0,53.5,56.4,52.0,54.9,58.4,54.4,48.5,5.1,6.1,5.1,5.2,6.1,4.1,5.2,3.1,6.1,4.1,4.1,5.1,5.1,5.2,5.1,6.1,4.1,7.2,4.1,26.3,7.2,9.0,4.1,7.1,4.0,16.3,5.1,6.1,4.1,4.1,7.1,16.0
1770631587.2273796,37.0,57.4,43.0,48.0,41.2,42.0,45.2,43.0,49.5,40.6,44.1,47.5,41.6,44.1,44.1,39.6,43.6,43.6,44.0,54.9,45.0,36.3,5.1,5.1,5.1,5.2,3.1,4.1,4.0,5.1,2.0,4.0,4.0,3.1,4.0,4.1,4.0,6.1,2.0,5.1,2.0,5.1,3.0,3.1,1.0,4.0,2.0,6.0,2.0,2.0,5.1,1.0,3.0,8.9
1770631588.2275877,40.2,36.0,39.6,35.6,32.7,39.8,38.0,36.3,41.0,41.2,32.0,38.6,39.6,31.4,39.8,46.5,33.0,35.9,35.3,38.6,36.0,45.0,4.1,5.1,5.0,7.0,7.1,7.1,4.0,7.1,5.0,5.1,4.1,5.0,2.0,5.1,4.0,4.0,2.0,4.0,5.1,3.0,3.1,7.0,4.0,2.0,3.0,3.1,3.0,6.1,3.1,5.0,5.0,16.2
1770631589.2276618,47.5,55.9,46.5,50.0,51.5,45.5,52.0,54.5,52.0,52.5,52.0,43.1,51.5,51.5,48.0,45.5,47.5,43.0,49.0,45.1,48.5,48.0,9.1,9.1,9.3,9.2,10.3,9.2,9.1,8.3,6.2,9.2,22.4,7.1,8.2,15.2,28.6,9.2,15.2,9.3,6.1,9.4,9.0,9.2,9.1,8.2,7.1,8.2,6.2,7.1,8.1,6.2,8.2,7.1
