timestamp,CPU_0(group_0),CPU_64(group_0),CPU_2(group_0),CPU_66(group_0),CPU_4(group_1),CPU_68(group_1),CPU_6(group_1),CPU_70(group_1),CPU_8(group_2),CPU_72(group_2),CPU_10(group_2),CPU_74(group_2),CPU_12(group_3),CPU_76(group_3),CPU_14(group_3),CPU_78(group_3),CPU_16(group_4),CPU_80(group_4),CPU_18(group_4),CPU_82(group_4),CPU_20(group_5),CPU_84(group_5),CPU_22(group_5),CPU_86(group_5)
1770632001.3208559,57.4,53.5,54.5,52.4,52.5,50.0,58.4,54.5,51.0,49.0,49.0,53.5,56.6,55.0,49.0,58.3,52.0,55.4,56.9,47.6,48.0,53.5,17.3,30.7
1770632002.32095,51.0,47.5,46.0,49.5,50.5,48.0,52.0,51.0,45.5,45.0,45.1,45.5,53.4,51.0,48.5,45.5,57.3,44.6,49.0,48.5,54.5,57.4,14.1,2.0
1770632003.3210263,46.5,57.0,48.0,46.1,45.0,49.5,52.5,48.0,50.0,55.8,52.0,57.4,50.0,42.6,52.9,47.1,46.5,49.5,39.4,49.0,45.5,57.3,3.1,7.1
1770632004.3211098,46.5,43.1,49.5,47.1,49.0,51.0,57.8,44.1,47.1,49.5,57.4,53.9,47.5,45.0,49.5,48.0,45.0,48.0,47.6,44.6,57.8,50.0,8.0,12.2
1770632005.3212044,45.1,49.0,50.0,42.6,53.0,49.0,49.0,45.5,45.0,48.0,45.5,44.0,47.5,49.5,47.1,41.7,59.0,43.6,48.5,46.1,51.0,38.6,5.1,4.1
1770632006.321318,55.0,52.0,55.3,48.0,51.0,40.8,44.0,49.0,49.5,44.6,50.5,49.5,50.0,46.1,47.5,46.0,63.0,43.1,55.9,50.0,47.1,43.6,5.1,3.1
1770632007.321398,53.0,51.5,46.5,56.9,45.5,47.0,47.1,50.5,38.0,50.5,49.5,42.2,43.6,49.0,48.5,44.7,42.6,55.4,54.9,47.1,52.9,51.0,41.0,4.0
1770632008.3214684,53.5,57.4,55.9,54.0,48.5,51.5,43.0,54.4,47.1,51.0,50.5,39.6,45.5,49.5,47.0,51.5,40.0,61.4,45.5,49.0,48.0,49.5,36.7,2.1
1770632009.3215384,50.5,52.0,46.1,49.0,50.5,54.5,47.5,52.0,46.5,52.9,47.0,49.0,50.0,51.0,45.6,52.4,46.6,54.9,46.1,54.0,52.0,52.5,19.8,4.1
1770632010.3216066,65.7,58.4,46.5,41.6,47.5,55.0,48.5,48.5,43.6,47.1,47.6,40.6,45.5,50.0,52.5,43.6,50.5,44.6,41.0,39.8,49.0,47.5,13.4,17.2
1770632011.3216786,57.4,57.3,57.4,49.5,50.0,53.4,53.0,55.4,51.0,62.0,48.0,50.5,53.4,51.5,55.9,48.0,53.9,53.8,55.4,46.5,53.9,48.0,18.2,3.1
1770632012.3217473,56.6,50.5,55.4,41.0,48.0,45.1,47.6,45.5,47.5,49.0,41.6,49.5,41.2,47.1,49.0,52.0,43.0,49.5,52.9,48.0,45.1,47.5,9.2,4.1
1770632013.3221607,49.0,54.5,55.4,44.6,50.5,51.0,50.5,50.5,54.5,47.5,50.5,56.4,53.0,45.5,53.9,61.0,51.0,48.0,53.0,56.0,47.5,50.5,7.9,4.1
1770632014.3222456,53.0,47.0,56.3,45.5,45.5,50.5,48.0,52.0,51.0,47.0,48.0,52.4,49.5,47.0,55.4,54.5,47.5,46.5,47.5,50.5,47.5,46.5,8.2,12.1
1770632015.3223212,58.4,52.9,48.0,49.5,54.5,50.5,52.0,56.4,50.5,46.5,51.5,53.0,54.9,48.0,61.2,50.5,55.4,54.5,56.9,55.9,51.0,54.9,44.0,3.1
1770632016.322399,56.0,49.0,50.0,52.0,57.0,52.0,45.5,51.0,52.9,58.4,50.5,51.0,51.5,46.1,53.9,50.5,47.1,53.4,49.5,52.9,49.0,51.5,7.1,24.5
1770632017.3224766,46.0,46.1,47.0,38.0,40.6,46.0,44.6,52.0,45.5,42.6,40.0,56.9,54.5,48.5,46.5,47.5,52.5,45.5,44.1,43.6,59.4,52.0,20.0,16.2
1770632018.322559,48.0,49.0,49.5,50.0,51.0,54.4,47.6,52.9,50.0,51.0,48.0,42.2,46.5,52.5,48.0,52.5,48.0,49.0,44.1,47.1,42.2,50.5,18.6,16.3
1770632019.3226266,50.0,53.9,50.0,39.0,46.5,55.4,50.0,44.6,40.0,46.5,41.2,40.6,47.0,52.5,45.0,48.5,41.6,45.5,43.6,38.6,42.0,42.6,4.0,16.0
1770632020.322713,52.5,51.5,43.4,45.1,49.5,45.1,43.0,51.0,39.2,50.0,45.0,48.5,36.3,53.9,46.2,47.1,45.1,39.6,44.0,42.6,52.0,50.0,6.1,7.1
1770632021.3229282,48.0,53.9,48.5,56.0,49.0,51.5,47.1,40.6,48.1,54.5,48.5,52.5,42.6,51.0,45.5,47.0,49.0,47.5,45.1,50.0,47.5,45.5,22.2,5.0
1770632022.323005,41.4,54.4,44.7,42.6,47.1,38.0,40.6,38.6,51.5,50.0,46.0,36.3,41.6,40.6,39.6,44.1,50.5,40.6,43.6,51.5,55.9,41.2,8.1,13.3
1770632023.3230946,54.5,55.4,48.0,40.8,46.1,46.1,42.6,44.4,50.5,47.1,45.6,45.6,49.5,39.8,42.2,43.0,41.0,51.0,41.2,43.7,49.0,40.0,4.0,8.3
1770632024.3238416,39.8,50.0,52.0,43.6,45.5,41.2,40.6,47.6,49.5,43.0,45.5,40.4,44.6,36.6,43.6,46.6,40.6,51.0,51.0,45.0,50.0,47.5,10.1,8.2
1770632025.324701,47.1,49.5,42.6,55.3,50.5,44.0,51.0,53.9,54.0,52.0,41.7,50.0,59.0,52.4,47.5,52.0,52.0,48.0,54.4,50.5,49.5,46.1,3.1,5.9
1770632026.325243,53.5,50.5,49.0,56.0,55.4,47.6,50.0,48.0,55.9,47.0,46.5,52.5,59.4,55.9,46.0,58.4,46.1,53.9,47.1,52.0,52.4,47.5,18.2,7.2
1770632027.32533,50.0,56.9,54.5,41.0,47.5,49.0,43.0,42.6,46.5,50.5,43.9,46.5,50.5,51.0,54.5,48.0,50.0,53.9,51.0,50.0,44.4,54.0,6.1,6.2
1770632028.3254063,40.4,36.4,47.5,44.6,42.6,42.2,39.6,52.5,45.5,44.9,48.0,50.0,51.0,41.4,49.0,44.4,48.5,48.5,49.0,40.0,43.0,53.5,6.1,3.1
1770632029.325496,47.1,47.5,60.0,45.5,52.9,58.4,47.0,47.1,52.9,51.0,51.0,55.3,52.0,48.0,52.0,49.0,48.0,44.6,52.4,47.0,44.0,59.4,15.3,11.2
1770632030.3255665,55.4,46.5,48.0,48.0,48.5,52.9,47.0,52.5,45.1,51.9,54.0,51.5,51.5,55.4,58.3,52.4,46.1,50.5,56.4,46.5,52.9,49.5,3.1,23.5
1770632031.3256485,53.5,41.0,47.5,45.5,47.0,50.0,50.0,48.0,63.4,45.5,48.0,49.5,44.1,43.9,50.5,52.5,44.0,43.4,52.0,51.5,46.0,50.5,5.0,20.2
1770632032.3257236,41.4,47.1,48.0,45.0,42.0,49.5,39.6,39.0,48.5,49.0,42.6,45.5,47.1,52.5,51.0,56.0,43.0,42.4,46.5,40.6,51.5,45.5,11.1,5.2
1770632033.3257961,53.0,46.6,44.6,49.5,45.0,48.0,45.0,44.0,44.7,49.5,55.4,43.0,46.5,45.6,44.1,49.5,46.2,45.5,45.6,44.7,60.2,51.5,13.4,3.1
1770632034.3258765,40.0,50.0,47.0,44.7,42.7,54.0,45.5,37.6,48.5,55.3,56.3,50.5,55.0,39.0,52.5,49.0,45.5,47.6,42.6,44.4,44.0,44.6,2.0,6.0
1770632035.326188,47.0,46.5,44.6,47.0,44.0,52.0,62.5,45.5,52.0,65.3,52.5,47.5,46.1,52.5,48.0,49.0,52.5,56.3,49.5,43.6,47.5,47.5,10.1,10.3
1770632036.3262672,47.5,46.1,43.0,45.5,47.1,40.6,55.4,43.0,49.5,41.6,48.5,42.6,31.3,45.1,46.6,46.0,35.6,43.4,50.0,46.5,39.6,41.2,9.0,5.1
1770632037.3263388,50.5,47.0,49.5,47.5,49.5,51.5,46.0,48.0,51.0,54.9,45.1,42.2,44.1,44.7,42.6,47.5,37.3,44.1,59.4,43.6,41.6,55.9,28.3,2.0
1770632038.3264384,51.0,50.0,53.5,58.8,47.5,52.9,53.9,53.0,47.0,53.9,43.6,51.5,51.5,50.0,51.0,52.5,49.5,54.0,52.0,50.0,50.5,59.4,10.3,12.1
1770632039.3265228,38.8,48.5,53.9,49.5,40.6,53.9,48.0,47.5,48.5,44.0,46.5,45.5,43.0,48.5,44.6,41.3,51.0,54.4,45.0,48.5,51.0,59.8,3.1,20.2
1770632040.3266056,50.0,47.6,40.0,49.0,46.5,48.5,41.0,41.2,46.1,42.2,55.9,46.5,51.0,43.0,39.2,47.0,44.0,41.2,40.6,55.4,46.0,50.0,4.1,6.0
1770632041.3270159,54.5,47.5,48.5,45.6,49.0,53.9,45.5,48.0,44.1,45.5,48.5,53.9,49.0,56.3,42.2,45.1,42.2,43.6,41.0,39.0,40.0,51.5,4.1,24.7
1770632042.3282886,53.0,48.5,54.9,46.5,45.5,49.5,45.1,52.5,46.0,44.6,49.5,52.0,57.8,40.6,46.1,45.5,51.5,41.6,53.5,38.8,44.1,43.6,3.1,14.1
1770632043.328368,51.0,45.5,55.9,46.0,52.0,48.5,53.5,52.0,44.1,45.1,57.8,50.5,54.5,44.6,48.5,57.4,49.5,48.0,50.0,56.0,53.5,46.6,5.1,17.3
1770632044.3284533,50.5,52.0,53.5,46.5,56.0,50.5,49.5,52.5,55.3,58.4,60.2,47.5,53.0,54.0,53.5,52.0,47.1,51.5,46.1,56.3,47.5,66.3,11.2,9.2
1770632045.3289962,52.5,50.5,46.5,49.5,47.6,42.6,51.5,52.4,49.0,52.5,55.4,48.5,53.9,53.0,46.5,49.0,55.4,46.5,48.5,50.0,47.6,48.5,6.0,6.1
1770632046.330049,49.5,45.1,50.5,47.1,47.5,52.9,51.0,50.5,54.4,42.2,61.8,47.5,46.6,48.1,48.5,50.5,50.5,54.5,55.9,45.5,47.1,51.5,2.1,4.2
