Task,count_Base,count_Exp,count_Change%,mean_Base,mean_Exp,mean_Change%,variance_Base,variance_Exp,variance_Change%,std_Base,std_Exp,std_Change%,cv_Base,cv_Exp,cv_Change%,min_Base,min_Exp,min_Change%,max_Base,max_Exp,max_Change%,iqr_Base,iqr_Exp,iqr_Change%,p90_Base,p90_Exp,p90_Change%,p95_Base,p95_Exp,p95_Change%,total_time_Base,total_time_Exp,total_time_Change%,throughput_Base,throughput_Exp,throughput_Change%,completed_requests_Base,completed_requests_Exp,completed_requests_Change%
network,6820.0000,8001.0000,17.3167,0.3653,0.2818,-22.8704,0.2607,0.1989,-23.7266,0.5106,0.4460,-12.6654,1.3977,1.5827,13.2310,0.0331,0.0342,3.2481,3.4219,4.4283,29.4096,0.3295,0.1234,-62.5626,1.1490,0.8845,-23.0131,1.5632,1.3077,-16.3488,,,,,,,,,
recognizer_adult,300.0000,280.0000,-6.6667,19.2916,20.9822,8.7630,22.9126,25.6856,12.1028,4.7867,5.0681,5.8786,0.2481,0.2415,-2.6519,9.3929,12.8554,36.8631,33.8150,40.1037,18.5974,6.7445,5.7092,-15.3504,26.5239,26.5260,0.0077,28.5685,28.6760,0.3763,,,,,,,,,
recognizer_censor,8088.0000,8924.0000,10.3363,0.0062,0.0063,2.5035,0.0002,0.0002,-0.8211,0.0129,0.0129,-0.4114,2.0976,2.0379,-2.8437,0.0018,0.0018,-1.0797,0.1833,0.1896,3.4055,0.0016,0.0021,28.3065,0.0064,0.0080,25.2757,0.0114,0.0132,16.2084,,,,,,,,,
recognizer_extract,617.0000,636.0000,3.0794,9.0684,8.7711,-3.2793,9.6728,10.1352,4.7809,3.1101,3.1836,2.3626,0.3430,0.3630,5.8332,2.3301,2.3834,2.2876,18.5392,19.4254,4.7805,4.5231,4.7984,6.0857,13.7162,13.4281,-2.1004,15.6671,13.9590,-10.9026,,,,,,,,,
recognizer_mosaic,765.0000,828.0000,8.2353,7.1223,6.5673,-7.7930,10.0949,9.5187,-5.7084,3.1773,3.0852,-2.8961,0.4461,0.4698,5.3107,1.0269,2.3677,130.5815,18.5940,19.1914,3.2129,4.8148,4.5884,-4.7008,11.1858,11.3492,1.4608,12.7776,12.5191,-2.0231,,,,,,,,,
recognizer_translate,6844.0000,7524.0000,9.9357,0.1096,0.1122,2.3476,0.0004,0.0006,43.2279,0.0200,0.0239,19.6779,0.1825,0.2134,16.9327,0.1058,0.1059,0.0442,0.8988,0.8503,-5.4008,0.0023,0.0057,149.7095,0.1117,0.1209,8.2620,0.1139,0.1273,11.7654,,,,,,,,,
recognizer_upload,598.0000,648.0000,8.3612,9.3362,8.6272,-7.5941,21.2939,16.9026,-20.6222,4.6145,4.1113,-10.9058,0.4943,0.4765,-3.5839,0.0798,0.0347,-56.4919,26.7626,21.9224,-18.0857,6.9348,6.1772,-10.9243,15.9640,15.1020,-5.3993,18.1156,16.5267,-8.7709,,,,,,,,,
recognizer_violence,298.0000,284.0000,-4.6980,19.4601,20.6799,6.2683,21.4846,23.6868,10.2499,4.6352,4.8669,5.0000,0.2382,0.2353,-1.1936,10.2126,11.0271,7.9761,35.2183,40.5898,15.2520,6.7345,5.2181,-22.5175,25.5415,25.7288,0.7335,27.7723,28.2394,1.6820,,,,,,,,,
svd_compute,715.0000,788.0000,10.2098,7.6652,6.9802,-8.9363,13.1297,11.0708,-15.6814,3.6235,3.3273,-8.1749,0.4727,0.4767,0.8362,1.5149,1.1980,-20.9198,20.6232,18.0548,-12.4539,5.3859,4.7468,-11.8651,12.6546,11.8654,-6.2362,14.7982,13.3950,-9.4819,,,,,,,,,
svd_merge,1337.0000,1461.0000,9.2745,3.7629,3.4632,-7.9658,5.9358,4.9575,-16.4812,2.4363,2.2265,-8.6114,0.6475,0.6429,-0.7015,0.8935,1.0276,15.0080,15.9494,14.3675,-9.9180,3.2979,2.6225,-20.4784,7.3833,6.8448,-7.2935,8.6897,8.2734,-4.7906,,,,,,,,,
svd_start,459.0000,497.0000,8.2789,12.3759,11.4223,-7.7056,38.4071,27.3800,-28.7112,6.1973,5.2326,-15.5673,0.5008,0.4581,-8.5181,0.4346,0.4312,-0.7865,32.8087,29.6468,-9.6373,9.3071,8.0849,-13.1323,21.1482,19.6008,-7.3172,24.9281,21.6348,-13.2110,,,,,,,,,
video_merge,359.0000,389.0000,8.3565,16.0261,14.7678,-7.8513,48.3107,39.4553,-18.3301,6.9506,6.2813,-9.6286,0.4337,0.4253,-1.9287,6.1873,2.4783,-59.9453,36.6639,31.8447,-13.1443,11.0486,10.0148,-9.3566,25.7954,24.3506,-5.6011,29.9740,26.8937,-10.2763,,,,,,,,,
video_split,72.0000,81.0000,12.5000,83.1275,73.9861,-10.9968,834.8297,857.5170,2.7176,28.8934,29.2834,1.3497,0.3476,0.3958,13.8719,1.5720,1.6364,4.1015,134.7759,131.9342,-2.1085,59.6327,43.7475,-26.6383,121.5353,115.1038,-5.2919,126.2972,120.7387,-4.4011,,,,,,,,,
video_transcode,167.0000,180.0000,7.7844,35.4457,33.2007,-6.3338,65.5785,49.0867,-25.1481,8.0981,7.0062,-13.4830,0.2285,0.2110,-7.6326,18.0308,17.8241,-1.1462,54.8734,51.1394,-6.8047,13.0729,12.0249,-8.0167,48.0092,42.2864,-11.9201,49.1115,45.5333,-7.2857,,,,,,,,,
video_upload,141.0000,152.0000,7.8014,41.9949,38.8293,-7.5380,201.1287,159.0732,-20.9097,14.1820,12.6124,-11.0673,0.3377,0.3248,-3.8170,0.3022,0.2219,-26.5962,71.6034,67.5753,-5.6256,25.9532,21.9172,-15.5509,59.8760,53.8557,-10.0545,68.2812,59.8819,-12.3011,,,,,,,,,
wordcount_count,1349.0000,1483.0000,9.9333,3.7412,3.4130,-8.7711,6.0804,5.0331,-17.2241,2.4658,2.2435,-9.0187,0.6591,0.6573,-0.2715,0.1085,0.1142,5.2068,16.9130,15.1109,-10.6550,3.2381,2.6116,-19.3485,7.2034,6.9756,-3.1615,8.7796,8.1697,-6.9470,,,,,,,,,
wordcount_merge,4724.0000,5242.0000,10.9653,0.5201,0.4985,-4.1447,0.2296,0.2288,-0.3607,0.4792,0.4783,-0.1805,0.9213,0.9594,4.1356,0.0801,0.0042,-94.7344,2.9757,2.8584,-3.9403,0.4234,0.1624,-61.6429,1.2620,1.2471,-1.1820,1.5700,1.6399,4.4495,,,,,,,,,
wordcount_start,1510.0000,1638.0000,8.4768,3.2665,3.0237,-7.4306,5.1271,4.1775,-18.5219,2.2643,2.0439,-9.7348,0.6932,0.6760,-2.4891,0.0099,0.0110,11.2507,16.9859,14.3632,-15.4401,2.8070,2.1098,-24.8392,6.5870,6.0917,-7.5189,7.7261,7.3748,-4.5475,,,,,,,,,
