Task,count_Base,count_Exp,count_Change%,mean_Base,mean_Exp,mean_Change%,variance_Base,variance_Exp,variance_Change%,std_Base,std_Exp,std_Change%,cv_Base,cv_Exp,cv_Change%,min_Base,min_Exp,min_Change%,max_Base,max_Exp,max_Change%,iqr_Base,iqr_Exp,iqr_Change%,p90_Base,p90_Exp,p90_Change%,p95_Base,p95_Exp,p95_Change%,total_time_Base,total_time_Exp,total_time_Change%,throughput_Base,throughput_Exp,throughput_Change%,completed_requests_Base,completed_requests_Exp,completed_requests_Change%
Global_Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613.0529,618.0450,0.8143,154.8219,161.8604,4.5462,94914.0000,100037.0000,5.3975
couchdb_test,90.0000,100.0000,11.1111,66.9491,60.3270,-9.8913,391.2520,545.3190,39.3779,19.7801,23.3521,18.0584,0.2954,0.3871,31.0178,43.7008,8.0712,-81.5308,105.5624,96.1641,-8.9031,29.9043,31.6902,5.9721,99.0253,87.3744,-11.7656,102.2086,93.8297,-8.1978,,,,,,,,,
disk,5120.0000,5250.0000,2.5391,0.6765,0.6837,1.0622,0.3761,0.3464,-7.8958,0.6133,0.5885,-4.0291,0.9066,0.8609,-5.0377,0.2224,0.2246,0.9872,3.2876,3.4793,5.8295,0.4387,0.2242,-48.8900,1.7291,1.6295,-5.7593,2.1397,2.1519,0.5674,,,,,,,,,
float_operation,5739.0000,4960.0000,-13.5738,0.5143,0.7064,37.3520,0.0048,0.0112,131.5686,0.0695,0.1058,52.1738,0.1351,0.1497,10.7911,0.3431,0.4154,21.0633,0.8151,1.0078,23.6360,0.0950,0.1416,49.1530,0.6049,0.8139,34.5407,0.6527,0.8262,26.5673,,,,,,,,,
image,292.0000,205.0000,-29.7945,20.3059,29.1431,43.5205,30.4073,100.9396,231.9583,5.5143,10.0469,82.1972,0.2716,0.3447,26.9486,12.9620,13.9693,7.7712,36.7015,59.8383,63.0404,9.5654,13.4909,41.0380,28.5057,43.0583,51.0517,30.6851,49.5568,61.5011,,,,,,,,,
k-means,9105.0000,9043.0000,-0.6809,0.1272,0.1680,32.1114,0.0227,0.0354,55.9191,0.1506,0.1881,24.8676,1.1842,1.1193,-5.4831,0.0326,0.0327,0.2473,4.8441,6.0735,25.3790,0.0830,0.0621,-25.0938,0.1902,0.2149,13.0315,0.1998,0.2282,14.2042,,,,,,,,,
linpack,9960.0000,10226.0000,2.6707,0.0778,0.0953,22.5781,0.0015,0.0025,64.8326,0.0386,0.0496,28.3872,0.4967,0.5203,4.7390,0.0251,0.0247,-1.3829,0.6608,1.2332,86.6265,0.0531,0.0589,10.8151,0.1136,0.1597,40.4953,0.1262,0.1778,40.8691,,,,,,,,,
map_reduce,11303.0000,12136.0000,7.3697,0.0126,0.0133,5.7579,0.0000,0.0000,109.7999,0.0040,0.0058,44.8447,0.3180,0.4355,36.9587,0.0093,0.0091,-1.6012,0.0832,0.1204,44.6642,0.0032,0.0036,13.9323,0.0169,0.0173,2.6772,0.0201,0.0212,5.2697,,,,,,,,,
markdown2html,10712.0000,11284.0000,5.3398,0.0360,0.0444,23.4561,0.0027,0.0032,21.4314,0.0515,0.0568,10.1959,1.4318,1.2780,-10.7408,0.0149,0.0149,-0.2828,1.8195,1.8749,3.0419,0.0300,0.0507,69.0400,0.0826,0.0926,12.1248,0.0926,0.1015,9.5548,,,,,,,,,
matmul,7430.0000,7797.0000,4.9394,0.2727,0.2711,-0.5634,0.0034,0.0032,-4.0435,0.0580,0.0568,-2.0426,0.2128,0.2096,-1.4876,0.1166,0.1201,3.0593,0.6640,1.3910,109.4798,0.0713,0.0608,-14.6439,0.3596,0.3338,-7.1771,0.3791,0.3675,-3.0657,,,,,,,,,
