timestamp,CPU_0(group_0),CPU_64(group_0),CPU_2(group_1),CPU_66(group_1),CPU_4(group_2),CPU_68(group_2),CPU_6(group_3),CPU_70(group_3),CPU_8(group_4),CPU_72(group_4),CPU_10(group_5),CPU_74(group_5),CPU_12(group_6),CPU_76(group_6),CPU_14(group_7),CPU_78(group_7),CPU_16(group_8),CPU_80(group_8),CPU_18(group_9),CPU_82(group_9),CPU_20(group_10),CPU_84(group_10),CPU_22(group_11),CPU_86(group_11),CPU_24(group_12),CPU_88(group_12),CPU_26(group_13),CPU_90(group_13),CPU_28(group_14),CPU_92(group_14),CPU_30(group_15),CPU_94(group_15),CPU_32(group_16),CPU_96(group_16),CPU_34(group_17),CPU_98(group_17),CPU_36(group_18),CPU_100(group_18),CPU_38(group_19),CPU_102(group_19),CPU_40(group_20),CPU_104(group_20),CPU_42(group_21),CPU_106(group_21),CPU_44(group_22),CPU_108(group_22),CPU_46(group_23),CPU_110(group_23),CPU_48(group_24),CPU_112(group_24),CPU_50(group_25),CPU_114(group_25),CPU_52(group_26),CPU_116(group_26)
1772855527.8352082,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0
1772855528.8352866,48.5,38.8,55.1,57.6,88.9,90.0,40.4,42.0,35.7,39.4,41.2,40.4,79.0,74.7,42.9,38.8,34.7,33.7,68.7,68.4,89.9,92.0,31.3,32.0,28.3,40.4,33.0,38.4,82.0,82.0,41.2,41.8,43.4,43.0,8.5,6.3,62.0,59.4,71.0,57.6,53.1,52.0,90.0,93.0,33.3,41.4,33.0,38.4,34.7,42.4,42.0,40.0,45.9,41.8
1772855529.8355646,67.0,67.7,49.0,48.5,90.0,92.0,28.4,32.6,38.3,34.7,62.6,56.7,87.9,93.0,70.0,66.7,68.0,72.7,82.7,83.0,91.1,92.0,79.8,78.2,16.8,26.0,44.4,40.2,70.3,72.7,76.0,74.5,50.0,49.5,37.8,4.2,87.0,91.0,27.2,29.0,41.2,40.2,60.0,67.3,16.3,14.0,32.0,33.3,34.4,31.3,55.1,57.7,45.4,46.9
1772855530.8363943,24.0,26.3,25.0,20.2,76.8,83.0,4.1,24.0,8.2,7.2,20.4,19.0,100.0,99.0,17.3,15.5,14.3,9.1,58.6,58.0,64.4,64.4,98.0,98.0,8.1,5.1,9.2,5.1,44.9,46.0,95.0,97.0,15.0,7.0,4.1,9.2,77.8,77.0,17.0,4.2,13.3,13.0,34.3,33.3,5.1,5.1,9.1,10.4,9.2,7.3,20.4,22.2,27.3,28.6
1772855531.837096,21.9,13.0,23.2,18.2,73.2,68.0,3.2,3.1,3.2,2.1,4.1,3.1,100.0,100.0,2.1,4.1,3.2,2.1,54.0,57.6,69.3,67.0,96.0,98.0,4.1,4.1,7.1,6.0,30.3,41.8,98.0,99.0,5.2,2.0,3.1,5.2,75.0,75.0,18.6,4.1,12.4,12.4,27.3,27.3,2.1,1.0,6.2,9.2,7.1,8.2,11.3,11.5,19.2,28.6
1772855532.8371809,16.5,10.2,18.8,18.6,72.0,64.6,4.2,4.1,3.1,5.1,6.1,5.2,83.2,82.0,9.3,7.1,2.1,3.1,55.6,57.0,52.0,60.8,100.0,100.0,5.1,4.1,8.2,10.2,35.6,36.7,100.0,100.0,2.1,2.0,8.1,7.1,72.0,71.0,3.1,4.2,12.4,12.4,27.3,29.7,4.1,5.1,11.2,8.1,6.2,7.1,25.5,24.0,24.2,27.6
1772855533.8372552,14.6,12.2,20.4,26.3,63.0,54.0,4.1,1.0,30.9,35.4,3.1,6.1,37.4,45.0,9.4,13.5,8.2,10.3,52.9,56.0,50.0,53.1,98.0,99.0,5.2,5.1,6.1,5.2,41.4,33.0,100.0,98.0,6.1,5.2,8.2,5.1,76.0,75.8,3.1,3.1,13.1,12.2,23.0,26.5,4.1,2.0,10.0,8.2,7.1,8.2,43.0,45.5,23.5,20.4
1772855534.838272,15.6,12.2,19.2,16.5,77.0,83.0,3.1,3.1,8.3,16.0,7.1,4.1,45.5,47.5,33.7,37.1,26.3,20.2,52.0,53.1,67.0,67.3,97.0,96.0,4.1,5.1,10.3,12.1,34.7,38.4,98.0,97.0,3.1,4.1,6.2,4.0,79.0,78.2,5.1,3.1,12.2,12.4,23.2,25.5,5.1,3.1,14.3,10.2,21.4,8.4,20.2,19.4,28.3,29.3
1772855535.8390815,14.3,10.1,16.3,14.3,64.6,70.3,3.1,1.0,4.0,3.0,4.1,4.0,34.0,48.0,95.0,87.1,12.4,12.4,45.5,52.0,55.0,58.8,99.0,99.0,6.1,5.1,8.2,11.1,30.0,39.6,100.0,100.0,3.1,5.1,5.1,10.2,76.0,76.8,3.1,2.1,12.2,19.2,22.2,17.2,3.1,4.0,14.3,8.2,9.2,7.1,18.0,18.4,24.2,19.4
1772855536.839168,15.5,11.3,13.4,19.0,69.7,54.0,4.1,3.1,2.1,3.1,4.1,4.1,37.0,43.9,81.3,83.7,2.0,3.1,51.0,53.5,46.5,49.5,99.0,99.0,4.1,3.1,5.2,8.2,38.4,29.3,99.0,99.0,3.1,2.0,3.1,5.1,57.6,57.0,7.1,2.1,65.7,63.6,21.2,22.2,4.1,6.2,7.1,7.1,6.2,7.2,10.4,12.6,25.5,20.6
