Task,count_Base,count_Exp,count_Change%,mean_Base,mean_Exp,mean_Change%,variance_Base,variance_Exp,variance_Change%,std_Base,std_Exp,std_Change%,cv_Base,cv_Exp,cv_Change%,min_Base,min_Exp,min_Change%,max_Base,max_Exp,max_Change%,iqr_Base,iqr_Exp,iqr_Change%,p90_Base,p90_Exp,p90_Change%,p95_Base,p95_Exp,p95_Change%,total_time_Base,total_time_Exp,total_time_Change%,throughput_Base,throughput_Exp,throughput_Change%,completed_requests_Base,completed_requests_Exp,completed_requests_Change%
Global_Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612.0737,615.0440,0.4853,174.3058,167.0872,-4.1413,106688.0000,102766.0000,-3.6761
couchdb_test,112.0000,114.0000,1.7857,21.3274,20.9263,-1.8806,28.1525,16.8007,-40.3224,5.3059,4.0989,-22.7487,0.2488,0.1959,-21.2681,14.1148,2.0736,-85.3088,36.3405,37.8757,4.2245,4.0503,1.7137,-57.6894,31.3462,24.5869,-21.5635,32.0914,26.5563,-17.2479,,,,,,,,,
disk,4653.0000,4390.0000,-5.6523,0.3522,0.3803,7.9973,0.0405,0.0199,-50.8297,0.2012,0.1411,-29.8784,0.5712,0.3709,-35.0710,0.1440,0.2199,52.6439,2.2467,2.1147,-5.8783,0.0833,0.0637,-23.5151,0.4068,0.4264,4.8036,0.6977,0.4677,-32.9638,,,,,,,,,
float_operation,3583.0000,3172.0000,-11.4708,0.5054,0.5778,14.3233,0.0041,0.0149,260.4584,0.0642,0.1219,89.8574,0.1270,0.2109,66.0706,0.4134,0.4076,-1.4152,0.7745,0.9049,16.8414,0.0813,0.2133,162.3114,0.6020,0.7603,26.2939,0.6306,0.7934,25.8178,,,,,,,,,
image,162.0000,150.0000,-7.4074,14.8595,15.9631,7.4276,7.8988,5.8938,-25.3842,2.8105,2.4277,-13.6196,0.1891,0.1521,-19.5920,12.8001,13.1695,2.8858,27.2052,28.4185,4.4598,0.5420,2.4321,348.7117,18.7506,16.9499,-9.6038,21.6343,19.1722,-11.3807,,,,,,,,,
k-means,8280.0000,7633.0000,-7.8140,0.1265,0.1387,9.6174,0.0099,0.0091,-8.2057,0.0997,0.0955,-4.1907,0.7881,0.6888,-12.5966,0.0326,0.0323,-0.9043,4.4515,4.0788,-8.3708,0.0815,0.0558,-31.4695,0.1910,0.1902,-0.3889,0.2006,0.1984,-1.0944,,,,,,,,,
linpack,9958.0000,9434.0000,-5.2621,0.0805,0.0803,-0.2409,0.0012,0.0012,5.0326,0.0345,0.0353,2.4854,0.4286,0.4403,2.7329,0.0254,0.0250,-1.6306,0.5672,0.6088,7.3373,0.0509,0.0512,0.6107,0.1176,0.1168,-0.6690,0.1363,0.1393,2.2598,,,,,,,,,
map_reduce,14570.0000,13334.0000,-8.4832,0.0131,0.0126,-3.6786,0.0001,0.0000,-43.6650,0.0076,0.0057,-24.9434,0.5827,0.4540,-22.0769,0.0093,0.0091,-1.5502,0.0945,0.0922,-2.4010,0.0027,0.0031,18.1879,0.0170,0.0154,-9.3624,0.0229,0.0188,-18.0193,,,,,,,,,
markdown2html,12669.0000,11353.0000,-10.3876,0.0320,0.0395,23.4798,0.0012,0.0016,27.8189,0.0350,0.0395,13.0570,1.0929,1.0006,-8.4409,0.0148,0.0148,0.1754,1.4174,1.6386,15.6111,0.0153,0.0441,188.3863,0.0836,0.0878,5.0714,0.0958,0.0978,2.0445,,,,,,,,,
matmul,5193.0000,5247.0000,1.0399,0.2917,0.2764,-5.2212,0.0038,0.0030,-19.4775,0.0613,0.0550,-10.2657,0.2103,0.1991,-5.3224,0.1169,0.1216,3.9983,0.6944,0.7523,8.3366,0.0839,0.0628,-25.1831,0.3836,0.3590,-6.4091,0.3944,0.3848,-2.4193,,,,,,,,,
