Task,count_Base,count_Exp,count_Change%,mean_Base,mean_Exp,mean_Change%,variance_Base,variance_Exp,variance_Change%,std_Base,std_Exp,std_Change%,cv_Base,cv_Exp,cv_Change%,min_Base,min_Exp,min_Change%,max_Base,max_Exp,max_Change%,iqr_Base,iqr_Exp,iqr_Change%,p90_Base,p90_Exp,p90_Change%,p95_Base,p95_Exp,p95_Change%,total_time_Base,total_time_Exp,total_time_Change%,throughput_Base,throughput_Exp,throughput_Change%,completed_requests_Base,completed_requests_Exp,completed_requests_Change%
network,8906.0000,9175.0000,3.0204,0.1075,0.0916,-14.8004,0.0171,0.0082,-52.0003,0.1309,0.0907,-30.7182,1.2175,0.9900,-18.6829,0.0338,0.0331,-2.0726,1.6574,2.4239,46.2450,0.0692,0.0687,-0.6335,0.1701,0.1489,-12.4488,0.2849,0.1852,-34.9750,,,,,,,,,
recognizer_adult,179.0000,171.0000,-4.4693,13.2563,14.0132,5.7098,9.2234,9.2708,0.5139,3.0370,3.0448,0.2566,0.2291,0.2173,-5.1586,9.9525,9.9992,0.4696,30.7497,32.4049,5.3828,4.1678,3.4282,-17.7451,16.5537,16.5472,-0.0393,17.0881,17.3000,1.2401,,,,,,,,,
recognizer_censor,10506.0000,10502.0000,-0.0381,0.0057,0.0051,-9.9710,0.0001,0.0001,-26.3423,0.0120,0.0103,-14.1759,2.1080,2.0095,-4.6707,0.0018,0.0017,-1.9259,0.1171,0.1056,-9.8292,0.0014,0.0015,8.1705,0.0057,0.0051,-10.0015,0.0086,0.0064,-25.6510,,,,,,,,,
recognizer_extract,577.0000,575.0000,-0.3466,3.9347,3.9444,0.2484,1.0492,0.4169,-60.2608,1.0243,0.6457,-36.9609,0.2603,0.1637,-37.1171,2.3104,2.2983,-0.5223,9.2887,8.4719,-8.7929,0.4299,0.3553,-17.3629,4.8218,4.2753,-11.3335,6.6476,4.6182,-30.5275,,,,,,,,,
recognizer_mosaic,1058.0000,1117.0000,5.5766,2.0333,1.9213,-5.5076,0.7646,0.3344,-56.2632,0.8744,0.5783,-33.8662,0.4301,0.3010,-30.0115,1.0868,1.0650,-2.0007,7.7267,7.0263,-9.0650,0.3850,0.3314,-13.9208,2.3657,2.1852,-7.6325,3.6856,2.4233,-34.2482,,,,,,,,,
recognizer_translate,6959.0000,7044.0000,1.2214,0.1085,0.1083,-0.1994,0.0001,0.0002,56.7059,0.0108,0.0135,25.1822,0.0994,0.1246,25.4324,0.1058,0.1058,-0.0173,0.5904,0.7712,30.6059,0.0017,0.0020,18.3891,0.1098,0.1103,0.4299,0.1109,0.1120,0.9769,,,,,,,,,
recognizer_upload,988.0000,1011.0000,2.3279,2.2051,2.1474,-2.6174,1.1748,0.5064,-56.8924,1.0839,0.7116,-34.3436,0.4915,0.3314,-32.5789,0.0381,0.0358,-6.1546,10.3973,9.1717,-11.7883,0.4859,0.3502,-27.9342,2.6869,2.4473,-8.9140,4.5183,2.7267,-39.6517,,,,,,,,,
recognizer_violence,171.0000,166.0000,-2.9240,13.9353,14.3568,3.0247,10.0877,14.1546,40.3162,3.1761,3.7623,18.4551,0.2279,0.2621,14.9775,9.5916,9.4831,-1.1308,30.3707,33.4870,10.2607,4.2734,4.9735,16.3831,16.7041,17.1750,2.8196,18.4869,18.4492,-0.2036,,,,,,,,,
svd_compute,957.0000,1035.0000,8.1505,2.2791,2.0880,-8.3829,0.7783,0.3275,-57.9184,0.8822,0.5723,-35.1297,0.3871,0.2741,-29.1940,1.1671,1.2980,11.2219,8.2698,9.1893,11.1180,0.3850,0.2986,-22.4338,2.6946,2.3306,-13.5092,4.1182,2.5481,-38.1265,,,,,,,,,
svd_merge,2643.0000,2718.0000,2.8377,0.6871,0.6594,-4.0302,0.2155,0.1071,-50.2901,0.4642,0.3273,-29.4947,0.6755,0.4963,-26.5339,0.2441,0.2455,0.5736,4.9142,5.9262,20.5914,0.2271,0.1984,-12.6460,0.8838,0.8458,-4.2969,1.3172,0.9415,-28.5231,,,,,,,,,
svd_start,814.0000,831.0000,2.0885,2.7288,2.6573,-2.6211,1.8012,0.6589,-63.4185,1.3421,0.8117,-39.5174,0.4918,0.3055,-37.8894,0.4129,0.4426,7.1695,12.1200,9.6420,-20.4456,0.5018,0.4315,-14.0086,3.2039,2.9893,-6.6999,5.3892,3.2490,-39.7132,,,,,,,,,
video_merge,508.0000,568.0000,11.8110,4.4981,3.9949,-11.1863,3.2094,1.0655,-66.7999,1.7915,1.0322,-42.3805,0.3983,0.2584,-35.1231,1.9575,1.1986,-38.7689,15.7729,11.1533,-29.2884,0.7915,0.5476,-30.8111,5.3967,4.4586,-17.3836,8.3544,4.9465,-40.7919,,,,,,,,,
video_split,111.0000,111.0000,0.0000,21.4524,21.4179,-0.1608,48.1405,20.5372,-57.3391,6.9383,4.5318,-34.6847,0.3234,0.2116,-34.5795,1.5993,1.5726,-1.6717,42.4441,39.4350,-7.0895,3.4425,1.7913,-47.9658,31.7773,23.3428,-26.5425,38.5317,29.4803,-23.4908,,,,,,,,,
video_transcode,112.0000,121.0000,8.0357,21.4670,20.1318,-6.2196,5.3652,5.3090,-1.0485,2.3163,2.3041,-0.5257,0.1079,0.1145,6.0716,17.8248,14.9991,-15.8527,29.4276,28.5282,-3.0563,1.5318,2.8706,87.4072,25.0829,22.8176,-9.0312,26.9754,24.8207,-7.9876,,,,,,,,,
video_upload,211.0000,216.0000,2.3697,11.1557,10.8908,-2.3747,15.7360,6.3449,-59.6789,3.9669,2.5189,-36.5011,0.3556,0.2313,-34.9565,0.2065,0.2474,19.7812,30.3662,26.3486,-13.2304,1.9057,0.9539,-49.9452,14.6968,12.1289,-17.4726,19.5849,15.4083,-21.3254,,,,,,,,,
wordcount_count,2660.0000,2698.0000,1.4286,0.6793,0.6622,-2.5137,0.2149,0.1015,-52.7683,0.4635,0.3186,-31.2746,0.6824,0.4811,-29.5025,0.1056,0.0971,-8.0387,4.8770,5.4042,10.8085,0.2217,0.2001,-9.7320,0.8768,0.8432,-3.8352,1.3191,0.9441,-28.4321,,,,,,,,,
wordcount_merge,7085.0000,6760.0000,-4.5872,0.1162,0.1321,13.7319,0.0116,0.0065,-44.0738,0.1077,0.0805,-25.2162,0.9273,0.6097,-34.2455,0.0326,0.0309,-5.1535,1.1345,1.1418,0.6442,0.0693,0.0807,16.5380,0.1766,0.2114,19.6974,0.2416,0.2419,0.1201,,,,,,,,,
wordcount_start,3063.0000,3120.0000,1.8609,0.5619,0.5433,-3.3230,0.1596,0.0818,-48.7459,0.3995,0.2860,-28.4081,0.7109,0.5264,-25.9473,0.0108,0.0140,30.0060,3.8756,5.3762,38.7172,0.1961,0.1773,-9.5582,0.7604,0.7120,-6.3647,1.1071,0.8130,-26.5652,,,,,,,,,
