Task,count_Base,count_Exp,count_Change%,mean_Base,mean_Exp,mean_Change%,variance_Base,variance_Exp,variance_Change%,std_Base,std_Exp,std_Change%,cv_Base,cv_Exp,cv_Change%,min_Base,min_Exp,min_Change%,max_Base,max_Exp,max_Change%,iqr_Base,iqr_Exp,iqr_Change%,p90_Base,p90_Exp,p90_Change%,p95_Base,p95_Exp,p95_Change%,total_time_Base,total_time_Exp,total_time_Change%,throughput_Base,throughput_Exp,throughput_Change%,completed_requests_Base,completed_requests_Exp,completed_requests_Change%
Global_Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618.0803,618.0827,0.0004,176.8088,167.6847,-5.1604,109282.0000,103643.0000,-5.1600
couchdb_test,124.0000,120.0000,-3.2258,19.2221,19.8818,3.4319,2.5887,23.4706,806.6617,1.6089,4.8446,201.1082,0.0837,0.2437,191.1175,16.5040,16.6530,0.9030,24.2716,46.7056,92.4291,2.4464,1.5713,-35.7731,20.9639,20.5713,-1.8729,21.6647,31.5053,45.4223,,,,,,,,,
disk,4989.0000,4554.0000,-8.7192,0.3228,0.3630,12.4619,0.0059,0.0302,412.8039,0.0767,0.1737,126.4517,0.2376,0.4785,101.3586,0.2026,0.1777,-12.3009,1.6706,2.7204,62.8329,0.0799,0.0773,-3.2639,0.3917,0.4121,5.2003,0.4074,0.4532,11.2342,,,,,,,,,
float_operation,3557.0000,3640.0000,2.3334,0.5069,0.4850,-4.3170,0.0044,0.0020,-54.6261,0.0663,0.0447,-32.6399,0.1308,0.0921,-29.6007,0.3370,0.3386,0.4641,0.7501,0.7159,-4.5603,0.0825,0.0616,-25.3531,0.6072,0.5516,-9.1554,0.6387,0.5728,-10.3250,,,,,,,,,
image,167.0000,149.0000,-10.7784,14.3709,16.0483,11.6721,0.5739,17.0012,2862.1673,0.7576,4.1233,444.2580,0.0527,0.2569,387.3714,13.2155,13.6057,2.9528,16.6744,40.4663,142.6846,1.4033,2.5553,82.0879,15.3488,16.9997,10.7563,15.5181,19.3441,24.6550,,,,,,,,,
k-means,8012.0000,7510.0000,-6.2656,0.1330,0.1465,10.1099,0.0106,0.0115,8.6801,0.1028,0.1072,4.2498,0.7730,0.7318,-5.3221,0.0327,0.0326,-0.3204,4.4799,4.5620,1.8317,0.0734,0.0611,-16.6946,0.1973,0.1986,0.6623,0.2060,0.2048,-0.5955,,,,,,,,,
linpack,10121.0000,9022.0000,-10.8586,0.0756,0.0947,25.3578,0.0010,0.0020,109.0675,0.0312,0.0450,44.5917,0.4123,0.4756,15.3432,0.0252,0.0250,-0.8795,0.5218,0.6440,23.4258,0.0508,0.0595,17.0932,0.1109,0.1618,45.8511,0.1188,0.1829,53.9745,,,,,,,,,
map_reduce,14103.0000,13668.0000,-3.0845,0.0134,0.0129,-3.5667,0.0000,0.0000,17.2473,0.0060,0.0065,8.2808,0.4480,0.5030,12.2856,0.0092,0.0090,-1.8417,0.0898,0.0866,-3.5646,0.0039,0.0032,-17.7424,0.0196,0.0157,-19.6273,0.0249,0.0203,-18.8107,,,,,,,,,
markdown2html,12521.0000,11680.0000,-6.7167,0.0311,0.0377,21.3986,0.0013,0.0013,-0.3291,0.0362,0.0361,-0.1647,1.1652,0.9582,-17.7624,0.0148,0.0149,0.3967,1.5629,1.3503,-13.6003,0.0118,0.0394,234.0977,0.0787,0.0858,9.0819,0.0948,0.0967,1.9888,,,,,,,,,
matmul,5007.0000,5240.0000,4.6535,0.3092,0.2809,-9.1474,0.0042,0.0038,-10.0490,0.0649,0.0616,-5.1575,0.2101,0.2193,4.3916,0.1186,0.1172,-1.1335,0.7795,0.7597,-2.5413,0.1020,0.0761,-25.3210,0.3915,0.3735,-4.5928,0.3977,0.3892,-2.1331,,,,,,,,,
network,9684.0000,9186.0000,-5.1425,0.0894,0.0938,4.9032,0.0030,0.0149,389.4608,0.0552,0.1222,121.2376,0.6178,1.3030,110.8968,0.0336,0.0331,-1.3101,1.2154,2.6886,121.2115,0.0653,0.0671,2.7358,0.1483,0.1423,-4.0632,0.1762,0.1796,1.9294,,,,,,,,,
recognizer_adult,173.0000,165.0000,-4.6243,13.7844,14.4811,5.0542,8.8468,12.1715,37.5818,2.9744,3.4888,17.2953,0.2158,0.2409,11.6521,10.1209,10.5998,4.7315,32.5044,33.2991,2.4452,2.0980,3.6938,76.0612,16.4801,17.2390,4.6050,17.1555,18.2070,6.1292,,,,,,,,,
recognizer_censor,11509.0000,10600.0000,-7.8982,0.0056,0.0053,-5.7328,0.0001,0.0001,-4.2567,0.0114,0.0112,-2.1515,2.0473,2.1251,3.7991,0.0017,0.0018,3.4955,0.1222,0.1106,-9.5302,0.0014,0.0015,4.9855,0.0053,0.0051,-2.8680,0.0068,0.0065,-3.8069,,,,,,,,,
