Task,count_Base,count_Exp,count_Change%,mean_Base,mean_Exp,mean_Change%,variance_Base,variance_Exp,variance_Change%,std_Base,std_Exp,std_Change%,cv_Base,cv_Exp,cv_Change%,min_Base,min_Exp,min_Change%,max_Base,max_Exp,max_Change%,iqr_Base,iqr_Exp,iqr_Change%,p90_Base,p90_Exp,p90_Change%,p95_Base,p95_Exp,p95_Change%,total_time_Base,total_time_Exp,total_time_Change%,throughput_Base,throughput_Exp,throughput_Change%,completed_requests_Base,completed_requests_Exp,completed_requests_Change%
recognizer_extract,581.0000,567.0000,-2.4096,3.9219,4.0139,2.3464,0.1201,0.8387,598.6479,0.3465,0.9158,164.3195,0.0883,0.2282,158.2598,2.0609,2.2483,9.0938,5.8849,11.0219,87.2910,0.3510,0.3544,0.9829,4.2506,4.2675,0.3974,4.4028,4.9460,12.3390,,,,,,,,,
recognizer_mosaic,1077.0000,1061.0000,-1.4856,2.0145,2.0320,0.8700,0.0905,0.7489,727.9165,0.3008,0.8654,187.7354,0.1493,0.4259,185.2537,1.3347,0.8986,-32.6745,3.9965,10.9256,173.3774,0.3129,0.2947,-5.8245,2.3038,2.2639,-1.7326,2.4133,2.4913,3.2293,,,,,,,,,
recognizer_translate,7474.0000,7050.0000,-5.6730,0.1092,0.1083,-0.7913,0.0001,0.0002,33.6056,0.0122,0.0141,15.5879,0.1116,0.1300,16.5098,0.1058,0.1059,0.0095,0.6935,0.7462,7.5998,0.0022,0.0020,-7.6906,0.1116,0.1104,-1.1340,0.1152,0.1119,-2.8609,,,,,,,,,
recognizer_upload,1078.0000,1031.0000,-4.3599,2.0173,2.1101,4.5999,0.1512,1.0526,596.2044,0.3888,1.0259,163.8569,0.1927,0.4862,152.2534,0.0325,0.0402,23.5724,4.3843,11.8594,170.4971,0.4395,0.4034,-8.2181,2.4581,2.4865,1.1561,2.7123,2.7904,2.8790,,,,,,,,,
recognizer_violence,184.0000,158.0000,-14.1304,13.0005,15.0626,15.8613,8.0807,11.2145,38.7808,2.8427,3.3488,17.8053,0.2187,0.2223,1.6778,9.2627,11.4176,23.2644,31.2196,32.1341,2.9291,1.6204,3.2569,100.9957,16.2722,17.5861,8.0748,17.0319,19.5623,14.8571,,,,,,,,,
svd_compute,1029.0000,1040.0000,1.0690,2.1249,2.0843,-1.9126,0.1472,0.6679,353.8628,0.3836,0.8172,113.0406,0.1805,0.3921,117.1946,1.0850,1.2501,15.2176,4.4951,10.8422,141.2007,0.4213,0.3009,-28.5951,2.6148,2.3063,-11.7979,2.8338,2.6357,-6.9922,,,,,,,,,
svd_merge,2881.0000,2726.0000,-5.3801,0.6244,0.6620,6.0243,0.0380,0.2241,490.2862,0.1949,0.4734,142.9581,0.3120,0.7151,129.1533,0.1925,0.2416,25.4755,2.7745,8.3300,200.2319,0.2111,0.2159,2.2506,0.8357,0.8496,1.6633,0.9335,0.9928,6.3552,,,,,,,,,
svd_start,889.0000,851.0000,-4.2745,2.4903,2.5958,4.2377,0.2019,1.5164,650.9941,0.4494,1.2314,174.0427,0.1804,0.4744,162.9016,0.4468,0.4891,9.4716,5.3745,15.7479,193.0126,0.5439,0.4820,-11.3693,2.9932,2.9460,-1.5778,3.1539,3.3276,5.5087,,,,,,,,,
video_merge,546.0000,586.0000,7.3260,4.1822,3.8699,-7.4654,0.2943,2.8969,884.3098,0.5425,1.7020,213.7371,0.1297,0.4398,239.0486,1.3134,1.2973,-1.2320,6.4739,20.7129,219.9423,0.6146,0.5351,-12.9292,4.7527,4.3036,-9.4507,5.1235,4.6391,-9.4555,,,,,,,,,
video_split,121.0000,102.0000,-15.7025,19.6864,23.3228,18.4720,9.9256,34.6466,249.0621,3.1505,5.8861,86.8320,0.1600,0.2524,57.7014,1.5355,1.5857,3.2696,23.9517,54.4583,127.3667,2.9041,1.8792,-35.2907,22.7434,25.7346,13.1522,22.9527,38.9434,69.6683,,,,,,,,,
video_transcode,122.0000,124.0000,1.6393,20.0030,19.6205,-1.9124,0.9395,9.0912,867.6687,0.9693,3.0152,211.0737,0.0485,0.1537,217.1385,17.7276,16.1251,-9.0396,22.1097,32.3760,46.4332,1.3065,2.7862,113.2624,21.2539,21.4579,0.9595,21.7568,27.3351,25.6396,,,,,,,,,
video_upload,232.0000,220.0000,-5.1724,10.1457,10.6841,5.3066,2.7181,12.7963,370.7739,1.6487,3.5772,116.9733,0.1625,0.3348,106.0396,0.2260,0.2249,-0.4858,15.5545,33.2536,113.7876,1.4326,1.2425,-13.2653,12.1611,12.6086,3.6800,13.1208,16.3952,24.9558,,,,,,,,,
wordcount_count,2727.0000,2758.0000,1.1368,0.6715,0.6491,-3.3300,0.0395,0.1976,400.2675,0.1987,0.4445,123.6666,0.2960,0.6848,131.3713,0.0988,0.0613,-37.9055,2.8798,6.9817,142.4382,0.2181,0.2069,-5.1327,0.8876,0.8422,-5.1178,0.9672,0.9626,-0.4746,,,,,,,,,
wordcount_merge,7062.0000,6685.0000,-5.3384,0.1362,0.1397,2.5800,0.0033,0.0145,338.7357,0.0576,0.1206,109.4602,0.4226,0.8629,104.1921,0.0396,0.0480,21.2077,0.9402,3.2793,248.7872,0.0802,0.0800,-0.2414,0.2076,0.2089,0.6435,0.2421,0.2445,1.0214,,,,,,,,,
wordcount_start,3312.0000,3150.0000,-4.8913,0.5160,0.5419,5.0129,0.0320,0.1483,363.3323,0.1789,0.3852,115.2515,0.3468,0.7108,104.9762,0.0145,0.0094,-34.9742,2.7495,6.3846,132.2098,0.1950,0.1894,-2.8614,0.7208,0.7301,1.2905,0.8142,0.8563,5.1722,,,,,,,,,
